_id,bathroom_num,bedroom_num,bizcircle_name,city,dist,distance,frame_orientation,hall_num,house_tag,house_title,latitude,layout,longitude,m_url,rent_area,rent_price_listing,rent_price_unit,resblock_name,type
5c714363397be4c5251a3ded,2,3,上地,北京,海淀,,南 北,2,精装 集中供暖 双卫生间,整租 · 上地西里二层三居 自住出租 随时入住采光好 无遮挡,40.039,3室2厅2卫,116.317831,https://m.lianjia.com/chuzu/bj/zufang/BJ2135934725586690048.html,137,15000,元/月,上地西里,整租
5c7148e6397be4c5251a583d,1,2,北大地,北京,丰台,,南 北,1,集中供暖,整租 · 丰台北大地电报局街家具家电齐全南北向两居,39.856662,2室1厅1卫,116.292291,https://m.lianjia.com/chuzu/bj/zufang/BJ2101229402263126016.html,57,4500,元/月,电报局街,整租
5c71321e397be4c5251a0b46,1,1,燕莎,北京,朝阳,788,北,1,近地铁 精装 集中供暖,整租 · 远洋新干线 1室1厅 10500元,39.963231,1室1厅1卫,116.46615,https://m.lianjia.com/chuzu/bj/zufang/BJ2163171108206428160.html,56,10500,元/月,远洋新干线,整租
5c712721397be4c52519fc09,1,1,阜成门,北京,西城,886,东,1,近地铁 集中供暖 随时看房,南露园 1室1厅 5600元,39.930655,1室1厅1卫,116.348521,https://m.lianjia.com/chuzu/bj/zufang/BJ2173622775712063488.html,43,5600,元/月,南露园,整租
5c7123bd397be4c52519f7af,1,2,和平里,北京,朝阳,779,东 南,1,近地铁 集中供暖,和平里东街15号院 2室1厅 6300元,39.957079,2室1厅1卫,116.431393,https://m.lianjia.com/chuzu/bj/zufang/BJ2158698783390056448.html,56,6300,元/月,和平里东街15号院,整租
5c72ae43397be4c5251e2d7e,1,2,奥林匹克公园,北京,朝阳,1139,南 北,2,精装 随时看房,整租 · 澳林春天四期 南北通透精装两居室 距奥森一路之隔,40.01826,2室2厅1卫,116.380727,https://m.lianjia.com/chuzu/bj/zufang/BJ2158677644206948352.html,111,12000,元/月,澳林春天四期,整租
5c7158ce397be4c5251a9d5c,1,2,顺义城,北京,顺义,744,南 北,1,近地铁 集中供暖 随时看房,整租 · 义宾北区 2室1厅 3600元,40.139222,2室1厅1卫,116.655265,https://m.lianjia.com/chuzu/bj/zufang/BJ2169945348712169472.html,65,3600,元/月,义宾北区,整租
5c713804397be4c5251a1d1a,3,3,农展馆,北京,朝阳,579,西南 东北,2,近地铁 集中供暖 随时看房,九号公寓  精装修 三居室 通透 人车分流,39.945153,3室2厅3卫,116.48049,https://m.lianjia.com/chuzu/bj/zufang/BJ2160741344963215360.html,272,32000,元/月,九号公寓,整租
5c714d5f397be4c5251a6de9,1,2,玉桥,北京,通州,,南 北,1,随时看房,京艺天朗雅园 2室1厅 5000元,39.896165,2室1厅1卫,116.695318,https://m.lianjia.com/chuzu/bj/zufang/BJ2139056799524069376.html,89,5000,元/月,京艺天朗雅园,整租
5c7157f6397be4c5251a9907,1,1,亦庄,北京,亦庄开发区,204,西,1,近地铁 集中供暖 随时看房,林肯公园 2房间1卫 5200元,39.810115,2房间1卫,116.497474,https://m.lianjia.com/chuzu/bj/zufang/BJ2163171843946070016.html,49,5200,元/月,林肯公园,整租
5c714629397be4c5251a4ade,1,2,蒲黄榆,北京,丰台,401,南 北,1,近地铁 集中供暖 随时看房,蒲安西里 2室1厅 5500元,39.870396,2室1厅1卫,116.422746,https://m.lianjia.com/chuzu/bj/zufang/BJ2191940599660421120.html,62,5500,元/月,蒲安西里,整租
5c7133d5397be4c5251a1190,1,2,首都机场,北京,朝阳,,南 北,1,集中供暖,南平里 2室1厅 4000元,40.051164,2室1厅1卫,116.605035,https://m.lianjia.com/chuzu/bj/zufang/BJ2194002345753583616.html,59,4000,元/月,南平里,整租
5c711bd1397be4c52519f2cb,1,1,广渠门,北京,朝阳,467,北,1,近地铁 精装 集中供暖,整租 · 保利蔷薇 1室1厅 6600元,39.89667,1室1厅1卫,116.442531,https://m.lianjia.com/chuzu/bj/zufang/BJ2113028646007472128.html,49,6600,元/月,保利蔷薇,整租
5c72b502397be4c5251e3e44,1,2,和平里,北京,朝阳,314,南,1,近地铁 精装 集中供暖 随时看房,整租 · 和平街十四区 2室1厅 8000元,39.966931,2室1厅1卫,116.433791,https://m.lianjia.com/chuzu/bj/zufang/BJ2173091103488876544.html,56,8000,元/月,和平街十四区,整租
5c71252c397be4c52519f984,1,1,六铺炕,北京,西城,850,南 北,1,近地铁 新上 随时看房,德胜门，六铺炕，正规一室一厅，干净整洁,39.95917,1室1厅1卫,116.387037,https://m.lianjia.com/chuzu/bj/zufang/BJ2197061036543049728.html,51,6500,元/月,教场口6号院,整租
5c714780397be4c5251a5175,1,2,北京南站,北京,丰台,826,南 北,1,近地铁 集中供暖,翠林三里 2室1厅 5500元,39.863807,2室1厅1卫,116.374008,https://m.lianjia.com/chuzu/bj/zufang/BJ2136006039022346240.html,62,5500,元/月,翠林三里,整租
5c71447d397be4c5251a4329,1,1,双榆树,北京,海淀,425,南 北,1,近地铁 精装 集中供暖 新上 随时看房,整租 ·  精装南向一居室，第一次出租，格局方正明亮，干净整洁,39.977829,1室1厅1卫,116.329472,https://m.lianjia.com/chuzu/bj/zufang/BJ2196141877815164928.html,37,6500,元/月,双榆树北里,整租
