area,com_type,company,education,exp_title,link,salary,title,update_time
Shanghai,Teaching Center,TutuageHR,Bachelor,Experience: Mid-Senior Level,http://www.jobleadchina.com/job/3957,15000K/MTH - 20000K/MTH,Non-native English Speakers in 7 Training Centers,"Post time: April 04, 2019"
Others,Others,TALENT WAY,Bachelor,Experience: Entry Level,http://www.jobleadchina.com/job/3956,13K/MTH - 26K/MTH,The Best Choice for Teachers in China is TalentWay,"Post time: April 03, 2019"
Guangzhou,Teaching Center,Mengyi Education Inc.,Bachelor,Experience: Mid-Senior Level,http://www.jobleadchina.com/job/3954,13K/MTH - 18K/MTH,English Teacher (Kindergarten),"Post time: April 02, 2019"
Beijing,Teaching Center,Sara,Bachelor,Experience: Mid-Senior Level,http://www.jobleadchina.com/job/3950,10000K/MTH - 20000K/MTH,Native English Teacher Free Accommodation+High Sal,"Post time: April 02, 2019"
Chengdu,Consultancy/Legal/Admin,JMtalent Consulting,Bachelor,Experience: Entry Level,http://www.jobleadchina.com/job/3942,15K/MTH - 22K/MTH,Native English Teacher,"Post time: March 30, 2019"
Chengdu,Consultancy/Legal/Admin,JMtalent Consulting,Bachelor,Experience: Entry Level,http://www.jobleadchina.com/job/3941,15K/MTH - 22K/MTH,Native English Teacher,"Post time: March 30, 2019"
Others,Teaching Center,Sara,Bachelor,Experience: Mid-Senior Level,http://www.jobleadchina.com/job/3940,8000K/MTH - 20000K/MTH,English subjects teachers needed in Guiyang,"Post time: March 29, 2019"
Guangzhou,Teaching Center,Sara,Bachelor,Experience: Mid-Senior Level,http://www.jobleadchina.com/job/3939,8000K/MTH - 20000K/MTH,Hiring NOW! 	Native english teacher are need in ch,"Post time: March 29, 2019"
Beijing,School,LCAIS,Bachelor,Experience: Entry Level,http://www.jobleadchina.com/job/3936,20K/MTH - 25K/MTH,Beijing International Kindergarten / Preschool Eng,"Post time: March 29, 2019"
Shanghai,Teaching Center,ESL recruiting team,Any education,Experience: Entry Level,http://www.jobleadchina.com/job/1228,16K/MTH - 23K/MTH,Teaching and travelling in China,"Post time: March 29, 2019"
Beijing,Teaching Center,Sara,Bachelor,Experience: Mid-Senior Level,http://www.jobleadchina.com/job/3935,8000K/MTH - 20000K/MTH,Native english teacher wanted in beijing ASAP,"Post time: March 28, 2019"
Beijing,School,LCAIS,Bachelor,Experience: Entry Level,http://www.jobleadchina.com/job/3933,20K/MTH - 25K/MTH,Beijing International Kindergarten / Preschool Eng,"Post time: March 28, 2019"
Hangzhou,School,Hailiang ECE,Bachelor,Experience: Associate,http://www.jobleadchina.com/job/3921,8K/MTH - 14K/MTH,English Teacher for Early Childhood Education Cent,"Post time: March 27, 2019"
Hangzhou,School,Hailiang ECE,Bachelor,Experience: Associate,http://www.jobleadchina.com/job/3920,15K/MTH - 18K/MTH,Foreign Kindergarten Teacher,"Post time: March 27, 2019"
Beijing,Teaching Center,Sara,Bachelor,Experience: Mid-Senior Level,http://www.jobleadchina.com/job/3907,8000K/MTH - 20000K/MTH,Join us! Native English teacher with good career p,"Post time: March 25, 2019"
Beijing,Teaching Center,Sara,Bachelor,Experience: Mid-Senior Level,http://www.jobleadchina.com/job/3906,20000K/MTH - 30000K/MTH,"Canadian Teacher for Kindergarten, Primary High Sc","Post time: March 25, 2019"
Hangzhou,School,Hailiang ECE,Bachelor,Experience: Associate,http://www.jobleadchina.com/job/3900,8K/MTH - 14K/MTH,English Teacher for Early Childhood Education Cent,"Post time: March 25, 2019"
Hangzhou,School,Hailiang ECE,Bachelor,Experience: Associate,http://www.jobleadchina.com/job/3899,15K/MTH - 18K/MTH,Foreign Kindergarten Teacher,"Post time: March 25, 2019"
Beijing,School,Wisdom Education Group,Bachelor,Experience: Mid-Senior Level,http://www.jobleadchina.com/job/3890,13K/MTH - 20K/MTH,Full-time Kindergarten teachers needed in  various,"Post time: March 21, 2019"
Hangzhou,School,Hailiang ECE,Bachelor,Experience: Associate,http://www.jobleadchina.com/job/3878,8K/MTH - 14K/MTH,English Teacher for Early Childhood Education Cent,"Post time: March 20, 2019"
Hangzhou,School,Hailiang ECE,Bachelor,Experience: Associate,http://www.jobleadchina.com/job/3877,15K/MTH - 18K/MTH,Foreign Kindergarten Teacher,"Post time: March 20, 2019"
Haikou,Others,Silk Road United Talent,Bachelor,Experience: Entry Level,http://www.jobleadchina.com/job/3875,11K/MTH - 16K/MTH,Coastal city English teachers in Hainan,"Post time: March 19, 2019"
Shenzhen,Teaching Center,Gold Foundation LLC,Any education,Experience: Director,http://www.jobleadchina.com/job/3847,20K/MTH - 28K/MTH,English Teacher,"Post time: March 18, 2019"
Hangzhou,School,Hailiang ECE,Bachelor,Experience: Associate,http://www.jobleadchina.com/job/3867,8K/MTH - 14K/MTH,English Teacher for Early Childhood Education Cent,"Post time: March 18, 2019"
Hangzhou,School,Hailiang ECE,Bachelor,Experience: Associate,http://www.jobleadchina.com/job/3866,15K/MTH - 18K/MTH,Foreign Kindergarten Teacher,"Post time: March 18, 2019"
Hangzhou,School,Hailiang ECE,Bachelor,Experience: Associate,http://www.jobleadchina.com/job/3860,8K/MTH - 14K/MTH,English Teacher for Early Childhood Education Cent,"Post time: March 15, 2019"
