area,company,exp_title,link,salary,title,update_time
福建-福州-福清市,福清西山学校,不限/大学本科,/jobs_view_341649.html,6K-9K/月,中职英语教师,2019/04/05
广东-东莞,东莞市瀚宇教育集团（中职、中小学、幼儿园,不限/大专以上,/jobs_view_176228.html,3K-5K/月,中职英语教师,2019/04/05
广东-惠州-博罗县,惠州市宝山职业技术学校,不限/不限,/jobs_view_350797.html,4K-6K/月,中职英语教师,2019/04/04
江苏-苏州-虎丘区,苏州市纺织工业职工中等专业学校,不限/硕士,/jobs_view_337761.html,2.5K-4K/月,中职英语教师/高中英语教师,2019/04/04
江苏-苏州,苏州市纺织工业职工中等专业学校,三年以上/硕士以上,/jobs_view_364241.html,3K-5K/月,（对口高考单招班）高中英语教师,2019/04/04
广东-深圳-龙岗区,深圳市携创技工学校,不限/大专以上,/jobs_view_428695.html,4.5K-6K/月,英语教师,2019/04/04
广东-惠州,惠州市金山信息工程职业技术学校,一年以上/大专,/jobs_view_313308.html,4K-5K/月,英语教师,2019/04/04
广东-深圳-宝安区,深圳市中嘉职业技术学校,不限/大学本科以上,/jobs_view_402139.html,5K-8K/月,英语教师,2019/04/04
广东-深圳-宝安区,深圳市中嘉职业技术学校,不限/大学本科以上,/jobs_view_261307.html,5K-6K/月,商务英语教师,2019/04/04
湖北-武汉-洪山区,武汉东湖光电技工学校,不限/大学本科以上,/jobs_view_392635.html,5K-8K/月,英语教师,2019/04/04
福建-厦门,厦门市英贤学校,不限/不限,/jobs_view_283221.html,3.5K-5K/月,五年专英语教师,2019/04/04
广东-东莞,东莞市石碣鼎文职业技术学校,一年以上/大学本科,/jobs_view_401380.html,4.5K-5.5K/月,英语教师,2019/04/03
海南-海口,海南服装工艺美术学校,不限/不限,/jobs_view_184293.html,3K-4K/月,英语老师,2019/04/03
浙江-杭州-滨江区,杭州文亮教育咨询有限公司,不限/大学本科以上,/jobs_view_429405.html,8K-15K/月,专升本语文/数学/英语老师（滨江）,2019/04/03
浙江-杭州-萧山区,杭州文亮教育咨询有限公司,不限/大学本科以上,/jobs_view_429411.html,8K-15K/月,专升本语文/数学/英语老师（萧山）,2019/04/03
浙江-杭州-西湖区,杭州文亮教育咨询有限公司,不限/大学本科以上,/jobs_view_429402.html,8K-15K/月,专升本语文/数学/英语老师（小和山）,2019/04/03
浙江-杭州-滨江区,杭州文亮教育咨询有限公司,不限/大学本科以上,/jobs_view_429418.html,8K-15K/月,专升本语文/数学/英语老师（下沙）,2019/04/03
浙江-杭州-余杭区,杭州文亮教育咨询有限公司,不限/大学本科以上,/jobs_view_429410.html,8K-15K/月,专升本语文/数学/英语老师（交通）,2019/04/03
浙江-杭州,浙江吉云教育科技有限公司2019校招,应届毕业生/大学本科以上,/jobs_view_432170.html,5K-8K/月,英语老师,2019/04/03
广东-惠州-惠城区,惠州市财经职业技术学校,不限/大专以上,/jobs_view_390096.html,3.5K-6K/月,英语老师,2019/04/03
安徽-合肥-庐阳区,合肥腾飞学校,一年以上/大学本科,/jobs_view_345711.html,4K-5K/月,英语教师,2019/04/03
广东-珠海-斗门区,广东南方职业培训学院,不限/大学本科以上,/jobs_view_396396.html,4K-6K/月,中职英语老师,2019/04/01
北京-朝阳区,清华大学附属中学国际学校,不限/大学本科以上,/jobs_view_306649.html,面议,英语助教（小学英语，初中英语，高中英语）,2019/04/01
湖北-黄石-大冶市,大冶市职业技术学校,一年以上/大学本科以上,/jobs_view_423624.html,3.5K-5.5K/月,英语教师,2019/03/28
上海-宝山区,天坤国际教育集团,不限/大专以上,/jobs_view_429563.html,4K-6.5K/月,英语教育-成都纬创,2019/03/25
广东-清远-英德市,广东英德华粤教育集团,不限/大学本科以上,/jobs_view_414172.html,6K-7.5K/月,英语教师,2019/03/21
江苏-苏州-昆山市,苏州福纳影视艺术学校,不限/大学本科以上,/jobs_view_414649.html,4K-8K/月,英语老师,2019/01/16
广东-广州-花都区,广东省高新技术技工学校,不限/大学本科以上,/jobs_view_406516.html,5K-8K/月,商务英语老师,2018/12/06
