city,province
石家庄,河北省
邯郸,河北省
唐山,河北省
保定,河北省
秦皇岛,河北省
邢台,河北省
张家口,河北省
承德,河北省
沧州,河北省
廊坊,河北省
衡水,河北省
辛集,河北省
晋州,河北省
新乐,河北省
遵化,河北省
迁安,河北省
霸州,河北省
三河,河北省
定州,河北省
涿州,河北省
安国,河北省
高碑店,河北省
泊头,河北省
任丘,河北省
黄骅,河北省
河间,河北省
冀州,河北省
深州,河北省
南宫,河北省
沙河,河北省
武安,河北省
太原,山西省
大同,山西省
朔州,山西省
阳泉,山西省
长治,山西省
晋城,山西省
忻州,山西省
吕梁,山西省
晋中,山西省
临汾,山西省
运城,山西省
古交,山西省
潞城,山西省
高平,山西省
原平,山西省
孝义,山西省
汾阳,山西省
介休,山西省
侯马,山西省
霍州,山西省
永济,山西省
河津,山西省
呼和浩特,内蒙古自治区
包头,内蒙古自治区
乌海,内蒙古自治区
赤峰,内蒙古自治区
呼伦贝尔,内蒙古自治区
通辽,内蒙古自治区
乌兰察布,内蒙古自治区
鄂尔多斯,内蒙古自治区
巴彦淖尔,内蒙古自治区
满洲里,内蒙古自治区
扎兰屯,内蒙古自治区
牙克石,内蒙古自治区
根河,内蒙古自治区
额尔古纳,内蒙古自治区
乌兰浩特,内蒙古自治区
阿尔山,内蒙古自治区
霍林郭勒,内蒙古自治区
锡林浩特,内蒙古自治区
二连浩特,内蒙古自治区
丰镇,内蒙古自治区
沈阳,辽宁省
大连,辽宁省
朝阳,辽宁省
阜新,辽宁省
铁岭,辽宁省
抚顺,辽宁省
本溪,辽宁省
辽阳,辽宁省
鞍山,辽宁省
丹东,辽宁省
营口,辽宁省
盘锦,辽宁省
锦州,辽宁省
葫芦岛,辽宁省
新民,辽宁省
瓦房店,辽宁省
庄河,辽宁省
北票,辽宁省
凌源,辽宁省
调兵山,辽宁省
开原,辽宁省
灯塔,辽宁省
海城,辽宁省
凤城,辽宁省
东港,辽宁省
大石桥,辽宁省
盖州,辽宁省
凌海,辽宁省
北镇,辽宁省
兴城,辽宁省
长春,吉林省
吉林,吉林省
白城,吉林省
松原,吉林省
四平,吉林省
辽源,吉林省
通化,吉林省
白山,吉林省
德惠,吉林省
榆树,吉林省
磐石,吉林省
蛟河,吉林省
桦甸,吉林省
舒兰,吉林省
洮南,吉林省
大安,吉林省
双辽,吉林省
公主岭,吉林省
梅河口,吉林省
集安,吉林省
临江,吉林省
延吉,吉林省
图们,吉林省
敦化,吉林省
珲春,吉林省
龙井,吉林省
和龙,吉林省
扶余,吉林省
哈尔滨,黑龙江省
齐齐哈尔,黑龙江省
黑河,黑龙江省
大庆,黑龙江省
伊春,黑龙江省
鹤岗,黑龙江省
佳木斯,黑龙江省
双鸭山,黑龙江省
七台河,黑龙江省
鸡西,黑龙江省
牡丹江,黑龙江省
绥化,黑龙江省
尚志,黑龙江省
五常,黑龙江省
讷河,黑龙江省
北安,黑龙江省
五大连池,黑龙江省
铁力,黑龙江省
同江,黑龙江省
富锦,黑龙江省
虎林,黑龙江省
密山,黑龙江省
绥芬河,黑龙江省
海林,黑龙江省
宁安,黑龙江省
安达,黑龙江省
肇东,黑龙江省
海伦,黑龙江省
穆棱,黑龙江省
东宁,黑龙江省
抚远,黑龙江省
南京,江苏省
徐州,江苏省
连云港,江苏省
宿迁,江苏省
淮安,江苏省
盐城,江苏省
扬州,江苏省
泰州,江苏省
南通,江苏省
镇江,江苏省
常州,江苏省
无锡,江苏省
苏州,江苏省
常熟,江苏省
张家港,江苏省
太仓,江苏省
昆山,江苏省
江阴,江苏省
宜兴,江苏省
溧阳,江苏省
扬中,江苏省
句容,江苏省
丹阳,江苏省
如皋,江苏省
海门,江苏省
启东,江苏省
高邮,江苏省
仪征,江苏省
兴化,江苏省
泰兴,江苏省
靖江,江苏省
东台,江苏省
邳州,江苏省
新沂,江苏省
杭州,浙江省
宁波,浙江省
湖州,浙江省
嘉兴,浙江省
舟山,浙江省
绍兴,浙江省
衢州,浙江省
金华,浙江省
台州,浙江省
温州,浙江省
丽水,浙江省
临安,浙江省
建德,浙江省
慈溪,浙江省
余姚,浙江省
平湖,浙江省
海宁,浙江省
桐乡,浙江省
诸暨,浙江省
嵊州,浙江省
江山,浙江省
兰溪,浙江省
永康,浙江省
义乌,浙江省
东阳,浙江省
临海,浙江省
温岭,浙江省
瑞安,浙江省
乐清,浙江省
龙泉,浙江省
合肥,安徽省
芜湖,安徽省
蚌埠,安徽省
淮南,安徽省
马鞍山,安徽省
淮北,安徽省
铜陵,安徽省
安庆,安徽省
黄山,安徽省
滁州,安徽省
阜阳,安徽省
宿州,安徽省
六安,安徽省
