adcode,center,citycode,name,province
410900,"115.041299,35.768234",0393,濮阳市,河南省
410300,"112.434468,34.663041",0379,洛阳市,河南省
411200,"111.194099,34.777338",0398,三门峡市,河南省
411100,"114.026405,33.575855",0395,漯河市,河南省
411000,"113.826063,34.022956",0374,许昌市,河南省
411300,"112.540918,32.999082",0377,南阳市,河南省
411500,"114.075031,32.123274",0376,信阳市,河南省
419001,"112.590047,35.090378",1391,济源市,河南省
411700,"114.024736,32.980169",0396,驻马店市,河南省
410500,"114.352482,36.103442",0372,安阳市,河南省
410800,"113.238266,35.23904",0391,焦作市,河南省
410600,"114.295444,35.748236",0392,鹤壁市,河南省
410700,"113.883991,35.302616",0373,新乡市,河南省
410200,"114.341447,34.797049",0378,开封市,河南省
410400,"113.307718,33.735241",0375,平顶山市,河南省
410100,"113.665412,34.757975",0371,郑州市,河南省
411600,"114.649653,33.620357",0394,周口市,河南省
411400,"115.650497,34.437054",0370,商丘市,河南省
440500,"116.708463,23.37102",0754,汕头市,广东省
440600,"113.122717,23.028762",0757,佛山市,广东省
441200,"112.472529,23.051546",0758,肇庆市,广东省
441300,"114.412599,23.079404",0752,惠州市,广东省
440300,"114.085947,22.547",0755,深圳市,广东省
440400,"113.553986,22.224979",0756,珠海市,广东省
440800,"110.364977,21.274898",0759,湛江市,广东省
440700,"113.094942,22.590431",0750,江门市,广东省
441700,"111.975107,21.859222",0662,阳江市,广东省
440900,"110.919229,21.659751",0668,茂名市,广东省
442100,"116.887312,20.617512",0767,东沙群岛,广东省
441500,"115.364238,22.774485",0660,汕尾市,广东省
445100,"116.632301,23.661701",0768,潮州市,广东省
445300,"112.044439,22.929801",0766,云浮市,广东省
441600,"114.697802,23.746266",0762,河源市,广东省
441400,"116.117582,24.299112",0753,梅州市,广东省
441900,"113.746262,23.046237",0769,东莞市,广东省
445200,"116.355733,23.543778",0663,揭阳市,广东省
440100,"113.280637,23.125178",020,广州市,广东省
440200,"113.591544,24.801322",0751,韶关市,广东省
