fullname,id,location.lat,location.lng,name
东城区,110101,39.92855,116.41637,东城
西城区,110102,39.91231,116.36611,西城
朝阳区,110105,39.9219,116.44355,朝阳
丰台区,110106,39.85856,116.28616,丰台
石景山区,110107,39.90569,116.22299,石景山
海淀区,110108,39.95933,116.29845,海淀
门头沟区,110109,39.94048,116.10146,门头沟
房山区,110111,39.74788,116.14294,房山
通州区,110112,39.90998,116.65714,通州
顺义区,110113,40.13012,116.65477,顺义
昌平区,110114,40.22077,116.23128,昌平
大兴区,110115,39.72684,116.34159,大兴
怀柔区,110116,40.316,116.63177,怀柔
平谷区,110117,40.14062,117.12141,平谷
密云区,110118,40.37625,116.84317,密云
延庆区,110119,40.45678,115.97503,延庆
和平区,120101,39.11712,117.2147,和平
河东区,120102,39.12827,117.25228,河东
河西区,120103,39.10954,117.22336,河西
南开区,120104,39.13815,117.15011,南开
河北区,120105,39.14784,117.19674,河北
红桥区,120106,39.16734,117.15161,红桥
东丽区,120110,39.08652,117.31428,东丽
西青区,120111,39.14111,117.00739,西青
津南区,120112,38.9375,117.3571,津南
北辰区,120113,39.22393,117.13544,北辰
武清区,120114,39.38408,117.0443,武清
宝坻区,120115,39.71755,117.30983,宝坻
滨海新区,120116,39.0032,117.71071,滨海
宁河区,120117,39.33091,117.82478,宁河
静海区,120118,38.94737,116.97428,静海
蓟州区,120119,40.04577,117.40829,蓟州
石家庄市,130100,38.04276,114.5143,石家庄
唐山市,130200,39.63048,118.18058,唐山
秦皇岛市,130300,39.93545,119.59964,秦皇岛
邯郸市,130400,36.62556,114.53918,邯郸
邢台市,130500,37.07055,114.50443,邢台
保定市,130600,38.87396,115.46459,保定
张家口市,130700,40.82444,114.88755,张家口
承德市,130800,40.9515,117.9634,承德
沧州市,130900,38.30441,116.83869,沧州
廊坊市,131000,39.53775,116.68376,廊坊
衡水市,131100,37.73886,115.67054,衡水
太原市,140100,37.87059,112.55067,太原
大同市,140200,40.07637,113.30001,大同
阳泉市,140300,37.85668,113.58047,阳泉
长治市,140400,36.19581,113.11649,长治
晋城市,140500,35.49039,112.85113,晋城
朔州市,140600,39.33155,112.43286,朔州
晋中市,140700,37.68702,112.75278,晋中
运城市,140800,35.02628,111.00699,运城
忻州市,140900,38.4167,112.73418,忻州
临汾市,141000,36.08822,111.51962,临汾
吕梁市,141100,37.51934,111.14165,吕梁
呼和浩特市,150100,40.84149,111.75199,呼和浩特
包头市,150200,40.65781,109.84021,包头
乌海市,150300,39.65384,106.79546,乌海
赤峰市,150400,42.2586,118.88894,赤峰
通辽市,150500,43.65247,122.24469,通辽
鄂尔多斯市,150600,39.60845,109.78087,鄂尔多斯
呼伦贝尔市,150700,49.21163,119.76584,呼伦贝尔
巴彦淖尔市,150800,40.74317,107.38773,巴彦淖尔
乌兰察布市,150900,40.99391,113.13376,乌兰察布
兴安盟,152200,46.08208,122.03818,兴安
锡林郭勒盟,152500,43.9332,116.04775,锡林郭勒
阿拉善盟,152900,38.85153,105.72898,阿拉善
沈阳市,210100,41.67718,123.4631,沈阳
大连市,210200,38.91369,121.61476,大连
鞍山市,210300,41.10777,122.9946,鞍山
抚顺市,210400,41.87971,123.95722,抚顺
本溪市,210500,41.29413,123.76686,本溪
丹东市,210600,39.9998,124.35601,丹东
锦州市,210700,41.09515,121.12703,锦州
营口市,210800,40.66683,122.2349,营口
阜新市,210900,42.02166,121.67011,阜新
辽阳市,211000,41.26809,123.23736,辽阳
盘锦市,211100,41.11996,122.07078,盘锦
铁岭市,211200,42.2862,123.84241,铁岭
朝阳市,211300,41.57347,120.4508,朝阳
葫芦岛市,211400,40.711,120.83699,葫芦岛
长春市,220100,43.81602,125.32357,长春
吉林市,220200,43.83784,126.54944,吉林
四平市,220300,43.16646,124.35036,四平
辽源市,220400,42.88805,125.14368,辽源
通化市,220500,41.72829,125.9399,通化
白山市,220600,41.9408,126.42443,白山
松原市,220700,45.1411,124.82515,松原
白城市,220800,45.6196,122.83871,白城
延边朝鲜族自治州,222400,42.89119,129.5091,延边
哈尔滨市,230100,45.80216,126.5358,哈尔滨
齐齐哈尔市,230200,47.35431,123.91796,齐齐哈尔
鸡西市,230300,45.29524,130.96954,鸡西
鹤岗市,230400,47.34989,130.29785,鹤岗
双鸭山市,230500,46.64658,131.1591,双鸭山
大庆市,230600,46.58758,125.10307,大庆
伊春市,230700,47.72752,128.84049,伊春
佳木斯市,230800,46.79977,130.31882,佳木斯
七台河市,230900,45.77065,131.00306,七台河
牡丹江市,231000,44.55269,129.63244,牡丹江
黑河市,231100,50.24523,127.52852,黑河
绥化市,231200,46.65246,126.96932,绥化
大兴安岭地区,232700,51.92398,124.59216,大兴安岭
黄浦区,310101,31.23162,121.48461,黄浦
徐汇区,310104,31.18826,121.43687,徐汇
长宁区,310105,31.22024,121.42394,长宁
静安区,310106,31.22352,121.45591,静安
普陀区,310107,31.2494,121.397,普陀
虹口区,310109,31.26451,121.50515,虹口
杨浦区,310110,31.25956,121.52609,杨浦
闵行区,310112,31.11325,121.38206,闵行
宝山区,310113,31.40527,121.48941,宝山
嘉定区,310114,31.37482,121.26621,嘉定
浦东新区,310115,31.22114,121.54409,浦东
金山区,310116,30.74185,121.34242,金山
松江区,310117,31.03241,121.22654,松江
青浦区,310118,31.14979,121.12426,青浦
奉贤区,310120,30.91803,121.4741,奉贤
崇明区,310151,31.6229,121.3973,崇明
南京市,320100,32.05838,118.79647,南京
无锡市,320200,31.49099,120.31237,无锡
徐州市,320300,34.2044,117.28577,徐州
常州市,320400,31.81072,119.97365,常州
苏州市,320500,31.29834,120.58319,苏州
南通市,320600,31.97958,120.89371,南通
连云港市,320700,34.59669,119.22295,连云港
淮安市,320800,33.61016,119.01595,淮安
盐城市,320900,33.34951,120.16164,盐城
扬州市,321000,32.39358,119.41269,扬州
镇江市,321100,32.18959,119.425,镇江
泰州市,321200,32.45546,119.92554,泰州
宿迁市,321300,33.96193,118.27549,宿迁
杭州市,330100,30.27415,120.15515,杭州
宁波市,330200,29.87386,121.55027,宁波
温州市,330300,27.99492,120.69939,温州
嘉兴市,330400,30.74501,120.7555,嘉兴
湖州市,330500,30.89305,120.08805,湖州
绍兴市,330600,30.03033,120.5802,绍兴
金华市,330700,29.07812,119.64759,金华
衢州市,330800,28.93592,118.87419,衢州
舟山市,330900,29.98539,122.20778,舟山
台州市,331000,28.65611,121.42056,台州
丽水市,331100,28.4672,119.92293,丽水
合肥市,340100,31.82057,117.22901,合肥
芜湖市,340200,31.35246,118.43313,芜湖
蚌埠市,340300,32.91548,117.38932,蚌埠
淮南市,340400,32.62549,116.9998,淮南
马鞍山市,340500,31.67067,118.50611,马鞍山
淮北市,340600,33.95479,116.79834,淮北
铜陵市,340700,30.94486,117.81232,铜陵
安庆市,340800,30.54294,117.06354,安庆
黄山市,341000,29.71517,118.33866,黄山
滁州市,341100,32.30181,118.31683,滁州
阜阳市,341200,32.88963,115.81495,阜阳
宿州市,341300,33.64614,116.96391,宿州
六安市,341500,31.73488,116.52324,六安
亳州市,341600,33.84461,115.77931,亳州
池州市,341700,30.66469,117.49142,池州
宣城市,341800,30.94078,118.75866,宣城
福州市,350100,26.07421,119.29647,福州
厦门市,350200,24.47951,118.08948,厦门
莆田市,350300,25.454,119.00771,莆田
三明市,350400,26.26385,117.63922,三明
泉州市,350500,24.87389,118.67587,泉州
漳州市,350600,24.51347,117.64725,漳州
南平市,350700,27.33175,118.12043,南平
龙岩市,350800,25.07504,117.01722,龙岩
宁德市,350900,26.66571,119.54819,宁德
南昌市,360100,28.68202,115.85794,南昌
景德镇市,360200,29.26869,117.17839,景德镇
萍乡市,360300,27.62289,113.85427,萍乡
九江市,360400,29.70548,116.00146,九江
新余市,360500,27.81776,114.91713,新余
鹰潭市,360600,28.26019,117.06919,鹰潭
赣州市,360700,25.83109,114.93476,赣州
吉安市,360800,27.11382,114.99376,吉安
宜春市,360900,27.81443,114.41612,宜春
抚州市,361000,27.94781,116.35809,抚州
上饶市,361100,28.45463,117.94357,上饶
济南市,370100,36.65184,117.12009,济南
青岛市,370200,36.06623,120.38299,青岛
淄博市,370300,36.8131,118.0548,淄博
枣庄市,370400,34.81071,117.32196,枣庄
东营市,370500,37.43365,118.67466,东营
烟台市,370600,37.46353,121.44801,烟台
潍坊市,370700,36.70686,119.16176,潍坊
济宁市,370800,35.41459,116.58724,济宁
泰安市,370900,36.19994,117.0884,泰安
威海市,371000,37.51348,122.12171,威海
日照市,371100,35.41646,119.52719,日照
临沂市,371300,35.10465,118.35646,临沂
德州市,371400,37.4355,116.35927,德州
聊城市,371500,36.45702,115.98549,聊城
滨州市,371600,37.38211,117.97279,滨州
菏泽市,371700,35.23363,115.48115,菏泽
郑州市,410100,34.74725,113.62493,郑州
开封市,410200,34.79726,114.30731,开封
洛阳市,410300,34.61812,112.45361,洛阳
平顶山市,410400,33.76609,113.19241,平顶山
安阳市,410500,36.09771,114.3931,安阳
鹤壁市,410600,35.747,114.29745,鹤壁
新乡市,410700,35.30323,113.92675,新乡
焦作市,410800,35.21563,113.24201,焦作
濮阳市,410900,35.76189,115.02932,濮阳
许昌市,411000,34.0357,113.85233,许昌
漯河市,411100,33.58149,114.01681,漯河
三门峡市,411200,34.77261,111.2003,三门峡
南阳市,411300,32.99073,112.52851,南阳
商丘市,411400,34.41427,115.65635,商丘
信阳市,411500,32.14714,114.09279,信阳
周口市,411600,33.62583,114.69695,周口
驻马店市,411700,33.01142,114.02299,驻马店
济源市,419001,35.06707,112.60273,济源
武汉市,420100,30.59276,114.30525,武汉
黄石市,420200,30.19953,115.0389,黄石
十堰市,420300,32.62918,110.79801,十堰
宜昌市,420500,30.69186,111.28642,宜昌
襄阳市,420600,32.009,112.12255,襄阳
鄂州市,420700,30.39085,114.89495,鄂州
荆门市,420800,31.03546,112.19945,荆门
孝感市,420900,30.92483,113.91645,孝感
荆州市,421000,30.33479,112.24069,荆州
黄冈市,421100,30.45347,114.87238,黄冈
咸宁市,421200,29.84126,114.32245,咸宁
随州市,421300,31.69013,113.38262,随州
恩施土家族苗族自治州,422800,30.27217,109.48817,恩施
仙桃市,429004,30.36251,113.4545,仙桃
潜江市,429005,30.40147,112.8993,潜江
天门市,429006,30.66339,113.16614,天门
神农架林区,429021,31.74452,110.67598,神农架
长沙市,430100,28.22778,112.93886,长沙
株洲市,430200,27.82767,113.13396,株洲
湘潭市,430300,27.82975,112.94411,湘潭
衡阳市,430400,26.89324,112.57195,衡阳
邵阳市,430500,27.2389,111.4677,邵阳
岳阳市,430600,29.35728,113.12919,岳阳
常德市,430700,29.03158,111.69854,常德
张家界市,430800,29.11667,110.47839,张家界
益阳市,430900,28.55391,112.35516,益阳
郴州市,431000,25.77063,113.01485,郴州
永州市,431100,26.42034,111.61225,永州
怀化市,431200,27.56974,110.0016,怀化
娄底市,431300,27.69728,111.99458,娄底
湘西土家族苗族自治州,433100,28.31173,109.73893,湘西
广州市,440100,23.12908,113.26436,广州
韶关市,440200,24.81039,113.59723,韶关
深圳市,440300,22.54286,114.05956,深圳
珠海市,440400,22.27073,113.57668,珠海
汕头市,440500,23.3535,116.68221,汕头
佛山市,440600,23.02185,113.12192,佛山
江门市,440700,22.57865,113.08161,江门
湛江市,440800,21.27134,110.35894,湛江
茂名市,440900,21.66329,110.92523,茂名
肇庆市,441200,23.0469,112.46528,肇庆
惠州市,441300,23.11075,114.41679,惠州
梅州市,441400,24.28844,116.12264,梅州
汕尾市,441500,22.78566,115.37514,汕尾
河源市,441600,23.74365,114.70065,河源
阳江市,441700,21.85829,111.98256,阳江
清远市,441800,23.68201,113.05615,清远
东莞市,441900,23.02067,113.75179,东莞
中山市,442000,22.51595,113.3926,中山
潮州市,445100,23.6567,116.62296,潮州
揭阳市,445200,23.54972,116.37271,揭阳
云浮市,445300,22.91525,112.04453,云浮
南宁市,450100,22.81673,108.3669,南宁
柳州市,450200,24.32543,109.41552,柳州
桂林市,450300,25.27361,110.29002,桂林
梧州市,450400,23.47691,111.27917,梧州
北海市,450500,21.48112,109.12008,北海
防城港市,450600,21.68713,108.35472,防城港
钦州市,450700,21.9797,108.65431,钦州
贵港市,450800,23.11306,109.59764,贵港
玉林市,450900,22.65451,110.18098,玉林
百色市,451000,23.90216,106.61838,百色
贺州市,451100,24.40346,111.56655,贺州
河池市,451200,24.69291,108.0854,河池
来宾市,451300,23.7521,109.22238,来宾
