monthSales,originalPrice,praiseContent,price,productName,productSpuId,productStatus,promotionInfo,wmPoiId,city,province,store
331,29.8,赞2,14.9,【全民开抢】妃子笑荔枝250g,1498116613,0,5.0折,988028343470871,石家庄,河北省,疯狂小店（先天下店）
0,45,赞0,45,妃子笑荔枝披萨,1427853028,0,,1096214274685101,唐山,河北省,绮乐PIZZA
0,20.6,赞0,20.6,妃子笑荔枝,272904380,0,,1067244720272763,保定,河北省,众鑫商店水果
0,17.9,赞0,17.9,妃子笑500g,1529746847,0,,969482674692724,秦皇岛,河北省,艾欣超市(北岭店）
2,9,赞0,9,妃子笑,665374527,0,,1124384965143348,张家口,河北省,果然汁己
11,21.9,赞0,21.9,妃子笑荔枝 新下来的鲜果 500g,1524607795,0,,943468057787314,承德,河北省,海峰水果蔬菜超市
54,32.9,赞1,23.9,海南妃子笑荔枝,1523088960,0,7.26折,882969148446121,沧州,河北省,吃各鲜
35,19.9,赞1,17.9,妃子笑荔枝,1525205026,0,9.0折,882969148446121,沧州,河北省,吃各鲜
0,24.8,赞0,24.8,海南妃子笑荔枝约500g/份,865681616,0,,1090639407140491,廊坊,河北省,比邻鲜（兴安市场店）
0,17.8,赞0,14.24,海南妃子笑荔枝 约300g /份,1543903417,0,8.0折,1090639407140491,廊坊,河北省,比邻鲜（兴安市场店）
0,13,赞0,13,妃子笑（荔枝火龙果）,1208917308,0,,955266332889044,廊坊,河北省,滋Q ice cream
75,23.8,赞2,19.8,海南妃子笑荔枝500g,1283248735,0,8.32折,863448522081092,廊坊,河北省,茗果鲜水果
74,12.8,赞0,9.9,海南妃子笑荔枝250g,1478621109,0,7.73折,863448522081092,廊坊,河北省,茗果鲜水果
0,46.8,赞0,46.8,海南妃子笑荔枝+先锋樱桃,1536343227,0,,863448522081092,廊坊,河北省,茗果鲜水果
0,14,赞0,14,妃子笑,1031846252,0,,1071556867427987,衡水,河北省,蜜菓茶语
12,19.9,赞0,19.9,妃子笑 超新鲜 胡特小,1517346236,0,,879069318088450,辛集,河北省,峻豪鲜果（炒奶果鲜果炒酸奶）
0,25,赞0,25,妃子笑荔枝 500g,1529343579,0,,863139284409215,辛集,河北省,可口鲜果超市
2,26,赞0,18.9,海南妃子笑荔枝/斤,324783349,0,7.27折,1110787098712255,晋州,河北省,旭阳水果干果
6,14.9,赞0,14.9,荔枝 妃子笑,1539658343,0,,966355938449944,晋州,河北省,正源水果百货店
2,19.9,赞0,19.9,妃子笑荔枝 500g,1528181728,0,,938236787610504,晋州,河北省,心意水果
30,15,赞1,15,妃子笑,809424855,0,,943085805683280,遵化,河北省,果然如意水果超市
0,15,赞0,15,妃子笑荔枝,1525250157,0,,1076792432581668,遵化,河北省,百果源水果干果
