,地区,标准实行时间,第一档
0,上海,2018.04.01,2420
1,深圳,2018.07.01,2200
2,北京,2018.09.01,2120
3,广东,2018.07.01,2100
4,天津,2017.07.01,2050
5,江苏,2018.08.01,2020
6,浙江,2017.12.01,2010
7,山东,2018.06.01,1910
8,新疆,2018.01.01,1820
9,吉林,2017.10.01,1780
10,四川,2018.07.01,1780
11,内蒙古,2017.08.01,1760
12,湖北,2017.11.01,1750
13,河南,2017.10.01,1720
14,山西,2017.10.01,1700
15,福建,2017.07.01,1700
16,黑龙江,2017.10.01,1680
17,江西,2018.01.01,1680
18,广西,2018.02.01,1680
19,贵州,2017.07.01,1680
20,陕西,2017.05.01,1680
21,云南,2018.05.01,1670
22,宁夏,2017.10.01,1660
23,河北,2016.07.01,1650
24,西藏,2018.01.01,1650
25,辽宁,2018.01.01,1620
26,甘肃,2017.06.01,1620
27,湖南,2017.07.01,1580
28,安徽,2015.11.01,1520
29,重庆,2016.01.01,1500
30,青海,2017.05.01,1500
31,海南,2016.05.01,1430
