auth_capital,city,com_class,com_fullname,com_id,com_intro,com_links,com_location,com_logo,com_name,com_website,com_welfare,day_per_week,detailed_intro,est_date,industry,job_academic,job_deadline,job_detail,job_links,job_title,num_employee,released_time,tag,time_span,update_time,wage
注册资本：37500万美元,北京,公司类型：有限责任公司(台港澳法人独资),淘宝（中国）软件有限公司,注册号：330100400015044,淘宝网是亚太地区较大的网络零售、商圈,https://www.shixiseng.com/com/com_jo8lboexkdrz,"杭州,北京",https://sxsimg.xiaoyuanzhao.com/FB/BC/FBDB6AC639BCC07C1B7FEFDC2E6D91BC.png,淘宝,http://www.taobao.com,"['加班补助', '团队建设活动', '历史', '制度完善', '能够学到许多东西', '大学生实习']",4天/周,阿里巴巴集团经营多项业务，另外也从关联公司的业务和服务中取得经营商业生态系统上的支援。业务和关联公司的业务包括：淘宝网、天猫、聚划算、全球速卖通、阿里巴巴国际交易市场、1688、阿里妈妈、阿里云、蚂蚁金服、菜鸟网络等,成立日期：2004-12-07,计算机/互联网,硕士,2018-04-13,,https://www.shixiseng.com/intern/inn_g2vpcs8lukcr,【淘宝】算法工程师/算法专家,2000人以上,7分钟前,数据挖掘,3个月,2018-03-21 10:48:06,200-201/天
注册资本：27570.9972万人民币,上海,公司类型：股份有限公司(上市),游族网络股份有限公司,注册号：350000400002152,全球领先的互动娱乐供应商,https://www.shixiseng.com/com/com_mbcwebmw75jg,上海市徐汇区宜山路711号游族大厦,https://sxsimg.xiaoyuanzhao.com/BD/6D/BD305709F25F51F798C10D23A996616D.png,游族网络,http://www.yoozoo.com,[],5天/周,游族网络作为A股主板上市公司（SZ.002174）及全球领先的互动娱乐供应商，已经开发了包括《少年三国志》、《女神联盟》、《盗墓笔记》等多款收入过亿游戏。其中，《女神联盟》系列多次被Facebook评为“年度最佳新游戏”和“年度最佳网页游戏”。代理产品《狂暴之翼》在全球115个国家及地区进入畅销榜前10，已成为由中国研发的海外市场收入最高的ARPG游戏。游族网络目前拥有《三体》等知名IP，并于2017年7月拿下全球级重量IP《权力的游戏》，并与华纳兄弟互动娱乐达成战略合作，将联合推出《权力的游戏》手游。全球启航分公司遍布全球4个国家9座城市，全球超过两千名员工，外籍员工比例达到15%。游戏产品发行超过190个国家和地区，并位居20多个国家销量榜榜首。研运一体致力于建立自有的研发及运营体系，建设和完善从研发到发行全方位的人才梯队。开放品类在营及在研项目已经涵盖SLG、MMO、ARPG、RPG、MOBA、FPS、休闲竞技等多种游戏品类。早期责任能力重于资历的人才发展观念。公司目前90后员工过半，平均年龄28岁。 游族的人才观：有爱，敢干，用户思维，牛鼻驱动，简单可依赖，日日新。​,成立日期：1995-09-22,计算机/互联网,本科,2020-12-31,"['1、对部门日志数据进行清理、整合；', '2、对各种数据进行分析有洞察力的分析 ；', '3、针对既定商业目标进行建模； ', '4、协助大数据工程师进行产品化 。', '1、本科及以上，专业 Statistics, Math, Electrical Engineering等等 ；\xa0', '2、具备良好的数据和商业敏感度、优秀的逻辑思维能力，乐于从纷繁的数据中寻找业务规律，较好的商业洞察力；有数据建模经验一级coding能力优先 ；\xa0', '3、具有良好的逻辑分析能力、沟通能力和协调能力；\xa0', '4、掌握R或是Python（统计包）等统计工具，熟悉Linux/shell基本功能，熟练掌握SQL语言,有Hive 使用经验优先；\xa0']",https://www.shixiseng.com/intern/inn_46watgzrvqsg,大数据挖掘工程师 （2018校园）,500-2000人,18分钟前,软件,4个月,2018-03-21 10:37:22,160-280/天
注册资本：50.000000万元美元,广州,公司类型：有限责任公司(台港澳法人独资),广州网易互动娱乐有限公司,注册号：440101400018387,国内中国领先的互联网技术公司，游戏行业领导者。,https://www.shixiseng.com/com/com_kbk8zgqbm4us,杭州市滨江区网商路599号,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-22/mWSIgB9Di2Ofe6A.jpg,网易游戏,http://nie.163.com/about/,[],4天/周,网易2001年正式成立在线游戏事业部，一直在网络游戏的自主研发领域处于行业前列，目前是中国自主研发第一网游公司。创立至今，网易游戏已经推出十几款自主研发游戏，其中包括：中国自主研发第一人气网游，全球首款双美术版本网游梦幻西游，注册用户2.5亿，最高在线271万；中国自主研发第一原创经典网游-大话西游2，最高在线126万；首款自主研发国韵3D网游天下贰，历时6年，耗资过亿。首款自主研发免费武侠巨制，PK网游之王大唐无双；另外，还有爱情网游大话西游3，大话西游之战歌，大唐豪侠等自主研发游戏。此外，网易08年获得《星际争霸Ⅱ》、《魔兽争霸Ⅲ:混乱之治》、《魔兽争霸Ⅲ:冰封王座》以及战网平台在中国大陆的独家运营权；09年，进一步获得暴雪旗下《魔兽世界》在中国大陆的独家运营权。处于网络游戏产业前沿的网易游戏，一直坚持以研发驱动产品的发展，放手让新人接触行业内顶尖的核心研发技术，更为员工创造了平等，分享的沟通氛围。网易游戏目前已经打造出行业内相当规模的研发团队。网易游戏期待热爱游戏的人才加盟。,成立日期：2002-10-15,互联网,本科,2018-03-31,"['【面向年级】', '2018年以后毕业的本科生、硕士生；', '【面向专业】', '计算机科学、数据挖掘、机器学习等相关专业；', '【职位介绍】', '1.参与研究制作游戏内电脑方全自动AI', '【职位要求】', '1. 较强的编程能力，丰富的数据挖掘与机器学习实践经历；', '2. 熟悉Java、Python、Mysql相关技术；', '3. 有深度学习、强化学习相关项目经验者优先；', '4. 有linux平台处理海量数据经验者优先；', '5. 热爱网络游戏，对游戏制作有一定了解者优先；', '6. 有炉石传说等集换式卡牌游戏经历者优先；', '【实习时间】', '3个月以上，每周至少可以实习4天', '【实习地点】', '599号', '实习补贴：', '3500元/月基本薪资+ 绩效奖金', '+下午茶；提供班车接送。', 'HR在广州，投递简历作品后请留意广州020-8510开头的来电。']",https://www.shixiseng.com/intern/inn_wnfrd8o7wly2,数据挖掘研究实习生（AI方向）,2000人以上,32分钟前,数据挖掘,4个月,2018-03-21 10:23:45,130-150/天
注册资本：4520万元美元,北京,公司类型：有限责任公司(外国法人独资),百度在线网络技术（北京）有限公司,注册号：110000410144104,全球最大的中文搜索引擎、最大的中文网站,https://www.shixiseng.com/com/com_tf3pjfyfvs7c,北京市海淀区百度科技园,https://sxsimg.xiaoyuanzhao.com/0A/80/0A4DB3F4159F586B0E419CCFE6A34D80.png,百度,http://www.baidu.com,"['团队大牛云集', '免费茶饮', '专业', '团队专业', '有文化', '福利待遇好']",4天/周,百度核心价值: 为人们提供最便捷的信息获取方式 百度狂热的追求更好的搜索技术，追求给网民带来最好的搜索体验，追求为人们提供最便捷的信息获取方式。百度的使命：为互联中国提供及时、丰富的信息，为网友提供最好的上网体验，改变人们的生活方式。核心价值观： 永远保持创业激情；每一天都在进步；容忍失败，鼓励创新；充分信任，平等交流。百度力求保持这种简洁的公司文化，无论今后百度如何的发展和壮大，都会以恒久的激情保持创业时期的那种没有繁文缛节的条纹约定、扁平的组织结构、以结果为导向的高效决策方式。每一天都在进步！,成立日期：2000-01-18,互联网,本科,2018-04-02,"['【工作职责】', '-负责百度搜索引擎基础数据挖掘核心技术研究和开发', '-负责搜索引擎所覆盖到的网页、站点、媒体资源等数据分析和特征建模工作', '-设计策略和算法及分析系统的技术缺陷，对策略框架做出合理的调整或改进', '-互联网资源特征数据挖掘，包括页面特征、站点结构、资源变化趋势等', '【任职资格】', '-计算机相关专业，19年及以后毕业，实习期不短于4个月，每周4天以上', '-精通C/C++语言编程，熟悉linux平台、shell编程', '-对数据结构和算法设计有较为深刻的理解', '-熟悉搜索相关领域如网页抓取、解析/信息挖掘/统计分析工作经验、多语言研发经验者优先']",https://www.shixiseng.com/intern/inn_4jjckpzxx469,数据挖掘实习生,2000人以上,32分钟前,数据挖掘,4个月,2018-03-21 10:22:52,150-200/天
注册资本：4520万元美元,北京,公司类型：有限责任公司(外国法人独资),百度在线网络技术（北京）有限公司,注册号：110000410144104,全球最大的中文搜索引擎、最大的中文网站,https://www.shixiseng.com/com/com_tf3pjfyfvs7c,北京市海淀区百度科技园,https://sxsimg.xiaoyuanzhao.com/0A/80/0A4DB3F4159F586B0E419CCFE6A34D80.png,百度,http://www.baidu.com,"['团队大牛云集', '免费茶饮', '专业', '团队专业', '有文化', '福利待遇好']",4天/周,百度核心价值: 为人们提供最便捷的信息获取方式 百度狂热的追求更好的搜索技术，追求给网民带来最好的搜索体验，追求为人们提供最便捷的信息获取方式。百度的使命：为互联中国提供及时、丰富的信息，为网友提供最好的上网体验，改变人们的生活方式。核心价值观： 永远保持创业激情；每一天都在进步；容忍失败，鼓励创新；充分信任，平等交流。百度力求保持这种简洁的公司文化，无论今后百度如何的发展和壮大，都会以恒久的激情保持创业时期的那种没有繁文缛节的条纹约定、扁平的组织结构、以结果为导向的高效决策方式。每一天都在进步！,成立日期：2000-01-18,互联网,本科,2018-04-05,"['【工作职责】', '-负责百度搜索引擎基础数据挖掘核心技术研究和开发', '-负责搜索引擎所覆盖到的网页、站点、媒体资源等数据分析和特征建模工作', '-设计策略和算法及分析系统的技术缺陷，对策略框架做出合理的调整或改进', '-互联网资源特征数据挖掘，包括页面特征、站点结构、资源变化趋势等', '【任职资格】', '-计算机相关专业，19年及以后毕业，实习期不短于4个月，每周4天以上', '-精通C/C++语言编程，熟悉linux平台、shell编程', '-对数据结构和算法设计有较为深刻的理解', '-熟悉搜索相关领域如网页抓取、解析/信息挖掘/统计分析工作经验、多语言研发经验者优先']",https://www.shixiseng.com/intern/inn_zyepnukaulmp,数据挖掘实习生,2000人以上,36分钟前,数据挖掘,4个月,2018-03-21 10:18:57,150-200/天
,,,,,,https://www.shixiseng.com/com/com_pafetn6hu7wd,北京中关村,,,,[],4天/周,,,,本科,2018-04-02,"['【职位描述】', '1、负责爬虫系统的设计、研发与维护；', '2、负责多平台信息爬取和页面内容的提取分析；', '3、辅助完成数据分析、数据挖掘和机器学习任务；', '4、研究各种网页、微信、微博接口、app接口，实现多通道抓取；', '5、负责网页信息抽取、数据清洗、构建数据分析与挖掘体系，研发数据挖掘产品与应用，负责海量数据的分析挖掘。', '【岗位要求】', '1、本科及以上学历，计算机相关专业，1年以上爬虫经验；', '2、精通HTML、正则表达式、XPath等Web信息提取技术；', '3、熟悉常用从结构化和非结构化的数据中提取信息的技术；', '4、熟悉Mysql等数据库工具，具备基础的“增删查改”的能力；', '5、具备良好沟通能力，分析、解决问题的能力，对处理未知的有挑战性的问题充满激情。', '【加分项】', '1、有机器学习工作经验；', '2、有分布爬虫框架经验；', '3、有海量数据爬取分析经验。']",https://www.shixiseng.com/intern/inn_s6dnbuqbhr14,爬虫工程师,,38分钟前,数据挖掘,3个月,2018-03-21 10:17:31,150-250/天
注册资本：250万元人民币,南京,公司类型：有限责任公司,南京贝湾教育科技有限公司,注册号：320102000214638,中国最大的移动互联网英语学习平台,https://www.shixiseng.com/com/com_enq4yegwm1ll,南京市玄武区江苏软件园,https://sxsimg.xiaoyuanzhao.com/E0/13/E0E0DCEDEA7C14F2CA314C2A53576613.png,扇贝,http://www.shanbay.com/,"['行业龙头', '高速发展', '免费英文培训', '注重兴趣爱好', '学习机会多', '空间无限大', '六险一金']",4天/周,					,成立日期：2011-06-24,互联网,不限,2018-04-30,"['- 熟悉 Python/R', '- 熟悉统计学基本方法', '- 熟悉基本算法与数据结构', '- 熟悉 Git, Markdown', '- 熟悉关系型数据库(RDMS)设计', '- 能够遵守规范，有团队合作精神', '- NLP', '- 日志收集与分析', '- Spark/Hadoop', '- Elasticsearch', '- 机器学习', '- Docker', '- Linux', '- Project', '- 扇贝 id', '- GitHub', '- Stack Overflow', '- V2EX / 知乎 / 微博 / Twitter', '毕业后才能入职没关系, 可以先实习。', '- 我们有很 Nice 的前后端工程师支持数据开发中的相关工作', '- 我们数据组的工作涉及：日志收集，预处理，计算和可视化 完整的数据分析流程', '- 我们采用 Docker 来部署数据分析/挖掘系统', '- 我们注重规范(必要的)，拒绝形式，也拒绝散乱。所以我们会有 API文档, Linter, Test', '- 我们鼓励分享，共同成长，定期有内部和外部的分享', '- 我们的办公环境包括：人体工程学座椅，Mac+DELL显示器，零食茶水水果，XBox，乒乓球室']",https://www.shixiseng.com/intern/inn_r2x1jrgoaxwu,数据工程师,50-150人,38分钟前,数据挖掘,6个月,2018-03-21 10:17:03,200-250/天
注册资本：800万人民币,上海,公司类型：有限责任公司（法人独资）,上海衡道医学病理诊断中心有限公司,统一社会信用代码：91310113MA1GLCDM3Q,国内首家获得独立第三方病理诊断中心牌照的医疗机构,https://www.shixiseng.com/com/com_72yha56ooax1,上海市徐汇区肇嘉浜路均瑶国际大厦17/A0,https://sxsimg.xiaoyuanzhao.com/3B/24/3B45A9CAB3FDB09784A50E295B5DE724.png,衡道医学,http://www.histomed.com,"['共同成长', '团建活动', '病理诊断', '医学实验室', '互联网', '大数据', '工作气氛好', '敏捷团队', '实习转正', '创业激情']",3天/周,上海衡道医学病理诊断中心是国内首家获得独立第三方病理诊断中心牌照的医疗机构。位于上海市宝山区的病理诊断中心实验室占地2500平米，是我国境内单体最大的病理诊断医疗机构。中心具备基础病理诊断、数字病理服务、分子病理诊断技术平台等综合病理诊断服务能力。我们聚焦于病理诊断，延伸至数字化与数据化病理、病理诊断技术研发、基层医院病理配套服务、基因生物技术应用、保险保障服务对接等多个方向。中心还每年举办国家级病理培训班并授予国家I类学分，服务广大病理同道。我们渴慕人才，我们欢迎牛人，还等什么——快来加入吧！！,成立日期：2017-02-17,医药,本科,2018-04-05,"['1、负责医疗数据的采集、整合和前处理；', '2、负责医疗数据的初步分析；', '3、协助进行医疗大数据平台建设的需求分析和设计。', '任职要求：', '1、本科以上学历，临床医学、生物信息、统计学、计算机等专业；', '2、精通Office系列软件，熟悉Access、MySQL等数据库软件，有SPSS、SAS、MATLAB等软件经验或数据挖掘及建模经验者优先；', '3、对数据敏感，归纳、分析能力强，做事严谨细致；', '4、有较强的学习能力、主观能动性及责任心。']",https://www.shixiseng.com/intern/inn_lnn69jqfqthy,医疗数据分析助理工程师,50-150人,1小时前,数据挖掘,7个月,2018-03-21 09:48:09,150-200/天
注册资本：600万元人民币,南京,公司类型：有限责任公司,南京基食信息技术有限公司,统一社会信用代码：91320106MA1MF96U9A,是横跨餐饮、商业地产、互联网、咨询业等多个领域的餐饮大数据服务商,https://www.shixiseng.com/com/com_csslg8glcuny,喜马拉雅中心C座706室,https://sxsimg.xiaoyuanzhao.com/88/0B/88742F8A185F6EF61D95EA26CC8F5D0B.png,指食针,http://www.gisfood.com,"['敏捷团队', '创造性强', '技术氛围好', '行业前沿', '内部优先晋升']",5天/周,"指食针：专业的餐饮大数据服务商指食针是一家前不久呱呱坠地的新创公司，成立于2017年1月，我们的核心业务是用大数据为餐饮企业服务。我们的核心团队来自移动互联网、品牌餐饮管理和商业地产咨询三大行业南京的头部公司。融资方面目前处于天使轮阶段。核心创始人是一名连续创业者，拥有商业地产咨询、餐饮O2O、实体餐饮的9年工作经验和3年创业经验。餐饮是一项迷人的绵延数千年的古老行业，这门古老的手工业在它的漫长演化中从未改变其主要特征：1.	极度的分散，以至于你在每个城市的每条街道上几乎都能看到若干餐厅，或者说中国餐饮百强的总营收在中国餐饮市场所占份额不超过9%；2.	极度的本地化，绝大部分餐厅的主力客源来自周边1至3公里；3.	供应链、生产、销售、客户体验、营销与空间的六重叠加，新开一家餐厅，往往意味着全部或者大部分重构这六个要素；4.	充分的市场竞争和高可替代性，如果说以前一家餐饮品牌要经历“三年之痒”和“十年之痛”，那么现在的移动互联网时代，这个时间分别缩减到了八个月和一年半。基于对当下移动互联网时代餐饮行业的深度参与和思考，指食针创始团队拥有了对行业的独特洞察，我们发现了餐饮行业全业务流程中真正稀缺的要素——餐饮大数据，我们判断未来十年中国餐饮将全面进入数据决策、数据运营的大数据时代。因此，我们构建了完全创新的业务模型和数据产品，来为餐饮商家的研发、选址、营建、营销和人力资源提供系统的支持，同时我们也看到了未来从我们的业务中获取数据、从我们的数据中衍生创新业务的光明前景。不仅因为这是我们的事业，也因为我们热爱这个行业。现在，我们希望发现对餐饮行业同样充满兴趣、喜欢用严谨的思考探索未知、不仅对公司的业务有认知更是希望对行业慢慢有理解力、愿意走南闯北用脚丈量中国餐饮版图的你，加入我们。
",成立日期：2016-02-14,企业服务,本科,2018-08-31,"['岗位职责：', '1. 熟练使用Python/R及相关算法应用；', '2. 擅长网络用户数据分析，会写商业分析报告。', '3. 熟悉统计学基本方法，精通excel；', '4. 负责根据业务需要进行统计分析；', '5. 数据汇总、校验、审核和录入；', '6. 数据可视化工具的搜集、学习和研究。', '\xa0', '任职要求：', '1. 统计学，数学，计算机专业本科以上学历。', '2. 熟悉sql语法，对于mysql,hive下的sql语法有全面的了解。', '3. 至少有python、java、shell一种编写能力。', '4. 熟悉常见机器学习算法。', '待遇面议。实习期6个月，到期可转正。有意者，请发简历至企业邮箱，简历请尽量详细，合则约见。']",https://www.shixiseng.com/intern/inn_87iwibwusi4z,数据处理方向/数据处理实习岗,15-50人,1小时前,数据挖掘,6个月,2018-03-21 09:47:09,80-120/天
注册资本：3000万元人民币,北京,公司类型：其他有限责任公司,北京思图场景数据科技服务有限公司,注册号：110108021699304,专业金融基因与AI智慧深度融合的人工智能科技公司,https://www.shixiseng.com/com/com_nss1btwenzae,北京市海淀区彩和坊路10号1+1大厦7层718,https://sxsimg.xiaoyuanzhao.com/1F/2E/1F0A427286413E193322C7ED317EC62E.jpg,思图场景,http://situdata.com/,"['团队优异', '技术牛人多', '前景发展好']",5天/周,"北京思图场景数据科技服务有限公司成立于2016年7月，旗下“思图场景（SEEK TRUTH）”是国内金融AI技术先导品牌。
	思图场景顺应大数据时代需求，致力于深度挖掘AI技术对金融业务场景的价值，通过AI技术与业务流程的创新融合改善金融业务，达成传统金融业务场景的AI重构。",成立日期：2016-07-25,计算机/互联网,本科,2018-04-12,"['1.日常运营数据整理、分类、统计，定期提交日常数据分析报告；', '2.跟踪日常运营数据监测报表，及时发现运营过程存在的问题，为部门日常运营提供数据支持；', '4.协助项目经理推进项目顺利进行。', '任职要求：', '1.本科大三或研二（19年毕业）时间比较充裕的同学；', '2.每周工作4-5天，实习至少3-6个月；', '3.数学、统计、新闻类专业背景优先，对数据运营有热情；', '4.具有较强的抗压能力，态度认真负责，积极主动。', '\u200b']",https://www.shixiseng.com/intern/inn_ct2anw277irq,数据运营实习生,15-50人,1小时前,数据挖掘,6个月,2018-03-21 09:45:19,120-199/天
