auth_capital,city,com_class,com_fullname,com_id,com_intro,com_links,com_location,com_logo,com_name,com_website,com_welfare,day_per_week,detailed_intro,est_date,industry,job_academic,job_deadline,job_detail,job_links,job_title,num_employee,released_time,tag,time_span,update_time,wage
注册资本：400万人民币,上海,公司类型：有限责任公司,上海聚虹光电科技有限公司,注册号：310110000546749,专注于将虹膜识别技术普及到每一个家庭和每一家公司,https://www.shixiseng.com/com/com_59ygd81y0ivf,浦东新区环湖西二路800号张江创业工坊/蔡伦路1690号2号楼（两个地址可以选择）,https://sxsimg.xiaoyuanzhao.com/B2/38/B21A1FF7F698ED7FCB1ABDBD5FC76038.png,上海聚虹,http://www.irisian.com,"['实习机会好', '有创意有乐趣', '技能培训', '行业大牛', '弹性工作', '实习待遇高', '时薪丰厚', '成长机会多', '发展速度快', '创造']",3天/周,2011 GB/T-20979 “采用多光谱技术解决东方人黑色虹膜的识别难题”为核心竞争力，聚虹光电科技发展出核心算法、硬件设备和云服务三条产品线。成熟产品包括面向金融自助设备、手机平板、安防门禁设备、虚拟现实设备、自动驾驶汽车等领域的多种智能识别终端，并且在远距离、戴眼镜、强光照等复杂条件下的识别性能全面超越传统识别算法，解决了困扰全球虹膜识别领域多年的三大技术难题，其虹膜识别核心算法于国内首家通过公安部算法精度检测。POC ,成立日期：2011-01-24,"计算机/互联网,电子",本科,2018-03-27,"['福利待遇：', '“五险一金”、带薪年假、节日福利、公费团队活动、购书补贴、加班餐报销等福利，公司内部活动丰富多样，每年有不定期的团队聚餐、聚会。', '一、人才政策：', '1、人才引进可申办上海市户口，工作和居住在临港的员工可享受居住证专项加分，最高分值20分；', '2、高层次人才给予最高50万的奖励；', '3、特定岗位取得国家职业资格人才可享受职业技能补贴；', '4、领军型人才可享受个税100%返还的奖励；', '5、公司建成临港地区大学生实习基地，对符合条件的大学生给予每人每月2000元的实习补贴。', '二、人才住房保障', '1、临港地区可以购买双定双限房，价格均在市场价50%以下；', '2、产业区“先租后售”公共租赁房；', '3、员工可申请人才公寓，全套装修，拎包入住并可以同时享受住房补贴；', '4、人才租房补贴，符合条件在临港租房的员工可享受最高1600元/月，最低400元/月的补贴。']",https://www.shixiseng.com/intern/inn_asltclwl7sf2,图像处理算法工程师（机器学习）,50-150人,4分钟前,算法,10个月,2018-03-21 10:39:49,120-170/天
注册资本：27570.9972万人民币,上海,公司类型：股份有限公司(上市),游族网络股份有限公司,注册号：350000400002152,全球领先的互动娱乐供应商,https://www.shixiseng.com/com/com_mbcwebmw75jg,上海市徐汇区宜山路711号游族大厦,https://sxsimg.xiaoyuanzhao.com/BD/6D/BD305709F25F51F798C10D23A996616D.png,游族网络,http://www.yoozoo.com,[],5天/周,游族网络作为A股主板上市公司（SZ.002174）及全球领先的互动娱乐供应商，已经开发了包括《少年三国志》、《女神联盟》、《盗墓笔记》等多款收入过亿游戏。其中，《女神联盟》系列多次被Facebook评为“年度最佳新游戏”和“年度最佳网页游戏”。代理产品《狂暴之翼》在全球115个国家及地区进入畅销榜前10，已成为由中国研发的海外市场收入最高的ARPG游戏。游族网络目前拥有《三体》等知名IP，并于2017年7月拿下全球级重量IP《权力的游戏》，并与华纳兄弟互动娱乐达成战略合作，将联合推出《权力的游戏》手游。全球启航分公司遍布全球4个国家9座城市，全球超过两千名员工，外籍员工比例达到15%。游戏产品发行超过190个国家和地区，并位居20多个国家销量榜榜首。研运一体致力于建立自有的研发及运营体系，建设和完善从研发到发行全方位的人才梯队。开放品类在营及在研项目已经涵盖SLG、MMO、ARPG、RPG、MOBA、FPS、休闲竞技等多种游戏品类。早期责任能力重于资历的人才发展观念。公司目前90后员工过半，平均年龄28岁。 游族的人才观：有爱，敢干，用户思维，牛鼻驱动，简单可依赖，日日新。​,成立日期：1995-09-22,计算机/互联网,硕士,2020-12-31,"['1、分析与挖掘数据的潜在规律和关联，采用机器学习算法进行建模预测，如游戏玩家的付费潜力、兴趣爱好等；', '2、使用机器学习算法建模，和游戏运营合作推动模型落地，并解决实际运行中出现的问题；', '3、根据业务需要对其他问题进行建模和算法设计。', '1、机器学习/模式识别等相关专业硕士及以上学历，计算机、数学、统计学等专业优先；\xa0', '2、在深度学习领域有较深的理论研究和实践经验的优先；\xa0', '3、需要具备以下领域之一的背景：机器学习/数据挖掘/信息检索/自然语言处理/统计分析/图像处理，OCR/语音识别/Hadoop/Spark，有深度学习和神经网络模型经验者优先；\xa0', '4、熟悉linux，java和C/C++开发；并熟练使用以下脚本语言：python/shell/scala；\xa0', '5、良好的主动性，逻辑思维能力和沟通能力；\xa0', '6、热爱游戏行业，有游戏行业实习经历的优先；\xa0']",https://www.shixiseng.com/intern/inn_aybjjw88fugn,机器学习工程师 （2018校园）,500-2000人,5分钟前,软件,4个月,2018-03-21 10:38:00,160-280/天
注册资本：1000 万元 美元,北京,公司类型：有限责任公司(台港澳法人独资),北京畅游天下网络技术有限公司,注册号：110000450025901,中国领先的新媒体、通信及移动增值服务公司，是中文世界强劲的互联网品牌,https://www.shixiseng.com/com/com_dyk1atxpb8hh,北京海淀区科学院南路2号院3号楼  搜狐媒体大厦,https://sxsimg.xiaoyuanzhao.com/94/93/94BC427ED7872FD502E14342F2BA0A93.jpg,搜狐,http://www.sohu.com,"['收获颇丰', '优秀留用', '巨大发展潜力', '快速成长', '氛围好', '优越办公环境', '位置绝佳', '提供转正机会', '员工食堂']",4天/周,搜狐——中国最大的门户网站 美国纳斯达克上市公司（NASDAQ:SOHU） 北京2008年奥运会互联网内容服务赞助商 中国互联网第一品牌 中国互联网主流人群获取资讯和交流最大网络平台 中国搜索引擎的鼻祖 中国互联网文化运动的先驱、中国综合门户网站的创始者 搜狐门户矩阵：中文世界最大的网络资产 超过4亿的注册用户 拥有最先进技术的搜索引擎-搜狗 第一家拥有两个美国上市公司（NASDAQ:SOHU、NASDAQ：CYOU）的中国互联网企业。,成立日期：2007-09-26,计算机/互联网,本科,2019-12-06,,https://www.shixiseng.com/intern/inn_xr5ou9tftxjd,机器/深度学习算法实习生,500-2000人,6分钟前,软件,3个月,2018-03-21 10:37:03,150-200/天
,,,,,,https://www.shixiseng.com/com/com_pafetn6hu7wd,北京中关村,,,,[],4天/周,,,,硕士,2018-04-02,['3、理解自然语言处理/搜索/推荐系统/用户数据分析和建模的基本概念和常用方法；\xa0'],https://www.shixiseng.com/intern/inn_4vf6wrzknchy,BD项目机器学习实习生,,32分钟前,Android,3个月,2018-03-21 10:11:17,200-201/天
,北京, ,京东世纪贸易有限公司,,互联网金融领跑者,https://www.shixiseng.com/com/com_00egljcux657,北京,https://sxsimg.xiaoyuanzhao.com/AB/A7/AB41FF4085D2541CA0BB1F4E2DE24BA7.jpg,京东金融,http://jr.jd.com/,[],5天/周,"京东金融集团于2013年10月开始独立运营，至今已建立起十大业务板块——企业金融、消费金融、财富管理、支付、众筹众创、保险、证券、农村金融、金融科技、海外事业，实现了公司金融和消费者金融的双重布局，并实现了国际化。京东金融集团定位服务于金融机构的科技公司，坚持以数据、用户、连接为三大关键点，坚持遵从金融本质，以数据为基础，以技术为手段，为金融机构在场景拓展、获客、运营、风控、研发等核心价值环节提供服务，在提升效率、降低成本的同时增加收入，推动整个行业全面跨进智能金融时代。大事记2017年2017年9月，京东金融布局海外第一步, 与泰国最大的零售企业之一尚泰集团有限公司在泰国成立合资公司​。2017年9月，与光大银行达成战略合作。​2017年8月，京东金融旗下首支定位于消费领域早期投资的风险投资基金——千树资本正式成立​。2017年7月，与招商银行联合发布“小白信用联名卡”。​2017年7月，海外事业部成立，旨在更好地推动和落地京东金融国际化业务战略，让金融科技服务于全球市场。​2017年7月，基于与银联“云闪付”的合作，京东支付推出NFC创新产品——京东闪付。​2017年6月，京东金融重组完成交割​。2017年6月，获《亚洲银行家》2017“年度信贷风控技术实施奖”​。2017年6月，与工商银行启动全面合作。​2017年4月，推出业内首家金融机构自运营平台——“京东行家”​。2017年3月，暖东京东公益互联网资金募捐平台上线​。2017年3月，京东农村金融首家落地数据农贷，精准放贷提高资金管理效率。​2017年1月，与中国银联达成战略合作。​2016年2016年12月，推出“东家财富”高端金融服务平台​。2016年11月，与美国大数据分析公司ZestFinance合资成立ZRobot​。2016年9月，“白条闪付”正式上线，覆盖800万线下商户​。2016年9月，推出“资产证券化云平台”，以此推动资本市场直接融资业务的发展​。2016年9月，成立金融科技事业部，加快金融科技输出步伐。2016年月，发布两款证券行业产品，京东金融大数据消费指数及量化策略开发平台。2016年月，国内首单互联网保理业务ABS——京东金融保理ABS在上交所挂牌。2016年4月，京东股票APP上线。2016年月，消费金融品牌战略升级，启动独立域名baitiao.com。2016年月，完成首轮融资66. 5亿人民币。2015年2015年月，国内首单互联网消费金融业务ABS——京东白条ABS在深交所挂。2015年9月，
发布京东农村金融战略。同期，京东农村信贷品牌“京农贷”正式发布。2015年8月，
联手中信银行发布国内首款“互联网+信用卡”——小白卡。2015年月，
保险业务上线，证券业务上线。2015年月，消费金融场景走出京东，白条产品覆盖住房、装修、车险、驾校等场景。2015年月，推出京东众创生态。2014年2014年10月，供应链金融新产品“京小贷”上线。2014年7月，京东金融APP上线。2014年月，京东产品众筹上线。2014年5月，京东用户个人信用评价体系“小白信用”落地。2014年3月，京东支付上线。2014年月，理财业务上线，“京东小金库”上线。2014年月，国内首个互联网消费金融产品“白条”上线。2013年2013年12月，首个供应链金融产品“京保贝”上线。​2013年10月，京东金融集团独立运营。",,"互联网,金融/保险",本科,2018-04-02,"['【岗位职责】：', '、负责大规模机器学习算法的开发；', '、负责时空数据特别是智能交通领域的特征提取、模型构建、定制和优化；', '、跟进业界机器学习的研究成果，开发', '提升相应的算法任务。', '【任职要求】：', '、本科或以上学历，计算机等相关专业；', '、至少熟悉一种分布式机器学习的开源框架，如', '、', '等；', '、熟悉机器学习各种模型', '矩阵', '张量分解、', '等', '者优先；', '、参与过智能交通相关领域机器学习项目者优先；', '、有', '等竞赛获奖者加分；', '、有良好的编程习惯', '具有较强的自我驱动能力和足够的自信心。']",https://www.shixiseng.com/intern/inn_fkbu7f3mtw0v,算法实习生--机器学习方向,2000人以上,1小时前,算法,5个月,2018-03-21 09:32:45,220-280/天
注册资本：524.8332 万元 美元,北京,公司类型：有限责任公司(外国法人独资),思博伦通信科技（北京）有限公司,注册号：110000410222215,技术领先的通信测试技术和相关设备的提供商,https://www.shixiseng.com/com/com_sqv9tyc2mzn3,北京市海淀区学院路35号世宁大厦13层思博伦通信,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-30/E4MG2c9N8bf6BWU.png,思博伦通信,http://www.spirent.cn/,[],3天/周,"思博伦拥有全面的测试解决方案，这些解决方案能够帮助客户顺利地开发和部署下一代网络技术及应用，是数据中心、云计算、SDN/NFV、虚拟环境、高速以太网、4G网络及用户体验、智能终端、网络及应用安全、卫星定位测试领域的领导者。
目前思博伦通信的产品在中国已经拥有了上百家客户，思博伦通信为您提供：
•	最佳通信测试平台 
•	全面完整的通信测试解决方案 
•	一流的测试咨询服务 
•	完善的售后服务 
•	周到的技术培训
思博伦通信注重员工发展，为员工提供有意义、有挑战的工作；通过有效的沟通和有竞争力的奖励，帮助员工提高对工作的满意度，并荣获了财富杂志评选的“2009年中国最适宜工作的公司”称号，并在2013年荣获了智联招聘评选的“最具潜力雇主”称号。
公司网址：http://www.spirent.cn/",成立日期：2004-11-10,通信/电子,本科,2018-04-11,"['岗位要求：', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\r\n理工科研究生，每周保证三到四天实习时间。', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\r\n擅长代码编写，有Python语言和关系型数据库经验', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\r\n熟悉机器学习和深度学习算法者优先', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\r\n熟悉Web框架如Web2py或者Django者优先', '\xa0', '岗位要求：', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\r\n开发和调试基于Python编写的机器学习软件', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\r\n负责机器学习性能的评估以及优化', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\r\n开发和调试基于Web框架的软件', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\r\n负责相关软件的测试以及部署', '·\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\r\n负责相关软件的CI/CD流程设计和维护', '\xa0', '工作地点：北京']",https://www.shixiseng.com/intern/inn_ibrytce1jtch,基于机器学习的Python实习生,150-500人,1小时前,Python,4个月,2018-03-21 09:27:40,150-200/天
,北京,,中国电信北京研究院,,国家信息通信研究领域最重要的支撑单位和工业和信息化部在综合政策领域主要的依托单位,https://www.shixiseng.com/com/com_0nondugciliz,北京市昌平区未来科技城中国电信科技园,https://sxsimg.xiaoyuanzhao.com/2A/09/2AB5E37B0F71D34D9B483595F4C48609.jpg,电信研究院,,[],3天/周,电信研究院总部位于北京市海淀区花园北路52号，始建于二十世纪50年代中期，前身为邮电部邮电科学研究院。多年来，电信研究院承担了大量国家和行业的重大研究工作，在通信产业政策、电信技术标准、通信发展规划、产品测试认证等方面积累了丰富的经验，为我国通信产业发展做出过比较重要的贡献。,,,硕士,2018-04-30,"['3.有良好的数据结构和算法设计基础；', '4.对机器学习/神经网络领域有一定研究；', '5.掌握至少一种机器学习/深度学习框架（如TensorFlow/Caffe2/MXNet/PyTorch/Keras/Theano等)，有项目经验者优先；']",https://www.shixiseng.com/intern/inn_26rujkyvvdfa,机器学习/深度学习研发实习生,150-500人,11小时前,Python,13个月,2018-03-20 23:34:44,300-450/天
注册资本：117626万美元,北京,公司类型：有限责任公司(台港澳法人独资),北京三快在线科技有限公司,注册号：110000450172508,中国最大的生活服务电商平台,https://www.shixiseng.com/com/com_bdgpc1uyxei4,北京市朝阳区望京东路4号恒电大厦BC座,https://sxsimg.xiaoyuanzhao.com/B3/68/B376BC157CC6781EEA49E553BF807668.jpg,美团点评,http://www.meituan.com,[],4天/周,"美团点评公司是全球领先的一站式生活服务平台，为超过6亿消费者和和超过450万的优质商户提供一个连接线上线下的电子商务网络。
秉承我们帮大家吃得更好，活的更好的使命，美团点评的业务覆盖了超过200个丰富品类和2800个城区县网络，在餐饮、外卖、酒店旅游、丽人、家庭、休闲娱乐等领域具有领先的市场地位。
美团点评不断用科技和创新赋能于传统产业，深刻地影响和改变了广大用户的生活习惯。截止2016年底，美团点评年度活跃买家超过2.4亿。",成立日期：2011-05-06,"生活服务,计算机/互联网",本科,2018-04-30,['4.对数据敏感，思维逻辑清晰，对业务问题充满好奇，相信大数据背后的力量。'],https://www.shixiseng.com/intern/inn_3ixfi82gppi2,机器学习/数据挖掘算法工程师（实习）,2000人以上,12小时前,云计算/大数据,6个月,2018-03-20 22:40:00,200-300/天
注册资本：149000万人民币,北京,公司类型：有限责任公司(法人独资),钱包金服（北京）科技有限公司,注册号：110105020231369,钱包金服简称钱包，是A股上市公司奥马电器（002668）（本网站内或简称“奥马电器”）金融科技品牌。,https://www.shixiseng.com/com/com_cumrjessvsgu,北京市朝阳区酒仙桥路52号院东方科技园,https://sxsimg.xiaoyuanzhao.com/84/A7/849891039FBB0416FA37B398CCC06DA7.png,钱包金服,http://www.qianbao.com,"['同事好相处', '提倡创新', '创意 设计', '补助&amp;amp;amp;节假日福利', '大牛多', '技术', '年轻任性', '责任 高效 进取 开放', '适合大学生', '学习机会']",5天/周,,成立日期：2015-11-17,金融,本科,2018-04-30,"['岗位描述', '1、设计并实施高可用模型，以预测多种结果；', '2、负责建立模型以解决现实问题；', '3、与产品、市场和业务分析人员协调合作开发模型来支持特定业务需求。', '任职资格', '1、全栈机器学习建模：从数据清洗、数据预处理、变量构造、特征值提取、变量筛选 到 机器学习建模、模型评估、模型打包上线等。', '2、熟悉常用的机器学习模型和算法；', '3、熟悉R、Python等语言并有持续学习的兴趣；', '4、拥有数据结构和并行化的知识；', '5、有成功的可验证的实施案例者优先，有成功的机器学习竞赛经验者优先；', '6、本科以及以上学历，专业不限。']",https://www.shixiseng.com/intern/inn_vuve7trjbusv,机器学习建模算法工程师,2000人以上,16小时前,算法,4个月,2018-03-20 18:13:22,100-110/天
注册资本：1161万元人民币,北京,公司类型：有限责任公司(自然人投资或控股),深思考人工智能机器人科技（北京）有限公司,注册号：110108019692870,深思考ideepwise，有温情的人工智能,https://www.shixiseng.com/com/com_noporbzg01xe,北京市海淀区上地信息路12号中关村发展大厦B201-205室,https://sxsimg.xiaoyuanzhao.com/E5/20/E5860F5AC93298C2CB828F438BFCC720.jpg,深思考Ideepwise,http://www.ideepwise.ai,"['北京', '弹性工作', '留用机会大', '免费宿舍提供', '本科及以上', '可转正']",3天/周,"深思考人工智能是专注于类脑人工智能与深度学习核心科技的高科技公司。目前在深度语义识别/多轮人机交互领域全国第一（SMP2017任务二大赛第一名）；人工智能医疗影像识别方向取得原理性突破（分类精度99.3%，比美国国立卫生研究院NIH 高1%）。公司主要面向医疗、汽车及智能家居三大领域提供人工智能产品及服务解决方案。产品已在人工智能医疗与健康、智能驾驶与出行、人工智能机器人（智能客服、智能家居）等多个垂直领域实现广泛应用。
深思考人工智能的核心技术主要体现在三方面，即基于深度学习的中文自然语言处理/语义识别(NLP/NLU)实现垂直领域的多轮多任务语义交互与中文校对、基于机器视觉与文本语义的多模态情感计算以及基于FPGA的深度学习性能优化与加速。",成立日期：2015-08-17,计算机/互联网,硕士,2018-03-26,"['岗位职责：', '1、结合数据挖掘传统算法，机器学习浅层算法，深度学习深层算法在人工智能领域的产品中进行分类和预测；', '2、以上算法在图像识别、自然语言处理、舆情分析、语音识别等人工智能方面的应用；', '3、以上算法在高性能云计算服务器上的并行化和优化工作。', '任职要求：', '1、硕士及以上学历，计算机相关专业毕业；', '2、对机器学习的一般模型如分类、聚类、关联分析、预测等模型熟悉（LR，CART，SVM，NN，Bayesian，PCA，LDA等），理解一些常用的特征选择和矩阵分解的算法；', '3、熟悉深度神经网络和常用的模型,如RBM、CNN、DBN、Sparsecoding、RNN等，对常用的开源实现,如Caffe、Theano或ConvNet等有实践经验者优先考虑；', '4、熟悉深度神经网络在图像识别、自然语言处理方面的应用，有文本处理方面的经验者优先考虑；', '5、熟悉大规模并行计算的基本原理并具有实现并行计算算法的基本能力，熟悉Hadoop或者Spark架构者优先考虑，有过基于GPU指令的算法优化经验者优先考虑；', '6、良好的英文阅读能力，跟踪学术界和工业界的最新研究成果，并可以通过编程语言（C、C++、java、Python、Matlab）来编程实现，有编程实现过近几年深度学习相关论文算法者着重考虑；', '7、有创造性的思维，敢于超越技术极限，致力于研发一流的技术和产品；', '8、具有良好的沟通能力，和良好的团队合作精神。']",https://www.shixiseng.com/intern/inn_f32ygzpqmvr0,机器学习与算法工程师,50-150人,16小时前,软件,3个月,2018-03-20 17:59:49,200-400/天
