auth_capital,city,com_class,com_fullname,com_id,com_intro,com_links,com_location,com_logo,com_name,com_website,com_welfare,day_per_week,detailed_intro,est_date,industry,job_academic,job_deadline,job_detail,job_links,job_title,num_employee,released_time,tag,time_span,update_time,wage
注册资本：4520万元美元,北京,公司类型：有限责任公司(外国法人独资),百度在线网络技术（北京）有限公司,注册号：110000410144104,全球最大的中文搜索引擎、最大的中文网站,https://www.shixiseng.com/com/com_wcxwa9lpkhrp,北京百度科技园,https://sxsimg.xiaoyuanzhao.com/D6/AA/D6B364EB408649F1DA7A5C6BBFE47DAA.jpg,百度,http://www.baidu.com,"['团队大牛云集', '免费茶饮', '专业', '团队专业', '有文化', '福利待遇好']",4天/周,百度核心价值: 为人们提供最便捷的信息获取方式 百度狂热的追求更好的搜索技术，追求给网民带来最好的搜索体验，追求为人们提供最便捷的信息获取方式。百度的使命：为互联中国提供及时、丰富的信息，为网友提供最好的上网体验，改变人们的生活方式。核心价值观： 永远保持创业激情；每一天都在进步；容忍失败，鼓励创新；充分信任，平等交流。百度力求保持这种简洁的公司文化，无论今后百度如何的发展和壮大，都会以恒久的激情保持创业时期的那种没有繁文缛节的条纹约定、扁平的组织结构、以结果为导向的高效决策方式。每一天都在进步！,成立日期：2000-01-18,互联网,本科,2018-04-05,,https://www.shixiseng.com/intern/inn_t8uh6i8codkh,内容理解方向策略算法工程师实习生,2000人以上,2分钟前,数据挖掘,4个月,2018-03-22 16:00:45,170-220/天
注册资本：306 万元 美元,北京,公司类型：有限责任公司(外国法人独资),北京三星通信技术研究有限公司,注册号：110000410149869,三星电子中国研究院,https://www.shixiseng.com/com/com_eve87rkzmkan,北京市太阳宫大厦（地铁10号线太阳宫站）,https://sxsimg.xiaoyuanzhao.com/BE/A1/BEC47256A39EE96BA3A382E43E91EAA1.png,三星电子中国研究院,http://www.samsung.com/cn/,['世界500强'],4天/周,　　三星电子中国研究院成立于2000年，是三星电子在华投资设立的第一个具有独立法人资格的研发机构，是国家批准认定的高科技软件企业，具有博士后科研工作站运营资质，现有研发人员近800名。研究院自2010年起，在强化研发成果商用化的同时，更加注重未来前沿关键技术的研究和开发。 　　研究院十分重视与国内著名高校的技术合作，目前已与清华、中科院、上海交大等十余所著名大学及科研机构密切合作，并成功将合作成果商用化。　　三星电子中国研究院以人工智能关键技术，包括模式识别、多媒体处理、人机交互、计算机视觉等；下一代无线通信核心技术，包括无线通信网络、芯片和终端技术等研发为目标，凝聚海内外计算机及通信领域优秀人才，为贡献于三星电子在中国的技术本地化进程而不懈努力！,成立日期：2000-08-09,"通信,计算机/互联网",本科,2018-03-31,['如有面试安排，会电话联系。'],https://www.shixiseng.com/intern/inn_uxkr0piglbvx,算法实习生,500-2000人,30分钟前,算法,3个月,2018-03-22 15:33:34,150-200/天
注册资本：5000万元人民币,北京,公司类型：有限责任公司(自然人投资或控股),北京云测信息技术有限公司,注册号：110228010316178,Testin全球一站式应用测试服务领导者,https://www.shixiseng.com/com/com_l8erdmuvvfqr,朝阳区酒仙桥路52号东方科技园4号楼云测大厦,https://sxsimg.xiaoyuanzhao.com/9F/76/9FDDB268883369649E5A49DF39502276.jpg,云测信息,http://www.testin.cn/,"['定期免费体检', '团队年轻化', '待遇优', '有益成长']",5天/周,"关于Testin
Testin是全球“一站式移动应用云测试服务”领导者，为移动应用、游戏、VR/AR、可穿戴、物联网、人工智能开发者提供必需的一站式应用测试服务和质量保证。Testin目前已经持续服务超过80万开发者，为超过230万个应用进行了超过1.7亿次测试，累计3轮融资超过8000万美元，与ARM、Intel、Google、IBM、微软、阿里、腾讯、360以及全球众多的移动互联网生态企业建立了良好的合作与沟通关系，先后被评为清科2014年、2015年中国最具投资价值企业50强，德勤2015年、2016年中国高科技高成长50强，Red Herring红鲱鱼2014年亚洲100强和2015年全球100强。
Testin主要产品
Testin 云测真机自动化云测试，面向开发、QA团队，中国、北美、全球热点和高覆盖率机型的真机兼容、功能和回归测试
Testin 云测远程真机调试，面向开发团队，通过浏览器、开发工具远程连接真实终端，7×24实时操作、快速定位问题
Testin 众测，面向开发、QA团队，遍布中国、北美及全球热点地区的测试专家共享测试服务
Testin Pro私有云，面向企业开发者的一站式自动化测试服务私有云平台
Testin A/B测试，面向产品、运营团队，用科学实验和人工智能数据分析驱动产品演进的迭代测试
Testin Bugout，面向开发、QA团队Bug管理系统",成立日期：2007-07-03,计算机/互联网,本科,2018-04-05,"['2、协助进行深度学习所需的数据标准化', '3、数据整理', '任职要求', '1、要求计算机及相关信息工程类专业,以人工智能、深度学习或大数据专业优先', '2、有过深度学习相关项目经验优先,有大数据项目经验者优先;', '3、良好的算法基础', '4、动手能力强', '\u200b']",https://www.shixiseng.com/intern/inn_f6dznkzs4yry,算法实习生,150-500人,38分钟前,软件,9个月,2018-03-22 15:24:54,100-180/天
注册资本：100万,广州,公司类型：有限责任公司(自然人投资或控股),曲速未来人工智能技术（广州）有限公司,统一社会信用代码：91440101MA5AKX6M21,创始人团队来自阿里总部与蚂蚁金服，阿里云创始团队。技术型驱动企业，重视技术追求极致，有创新的团队氛围,https://www.shixiseng.com/com/com_sze4i5ktgruv,广州市天河区TO加科创营D3栋-102号,https://sxsimg.xiaoyuanzhao.com/5B/C1/5BA47EABF0AAC78839B05189C3C940C1.png,曲速未来,http://www.warpfuture.com,"['工作氛围优良', '著名VC投资', '技术驱动', '双休', '带薪假期', '管理扁平化', '年轻化']",5天/周,"【公司已获得国内著名VC的投资。公司总部坐落在广州天河区TO加科创营创意园，为员工提供优良的办公环境，完善的五险一金制度，提供带薪年假，让有志之士与公司技术大咖一起全身心的投入对极致技术的追求。公司主要面向企业提供AI对抗安全 与 IOT安全相关服务。】
【UBEA&AI安全对抗： AI主体识别服务，主要应用在游戏/社交/电商/金融等行业，业务场景包括反作弊 /认证欺诈/访问保护/DDOS攻击/营销欺诈/短信池轰炸等。】
【IOT物联网安全：智能设备安全包括3C消费电子／摄像头，ARVR，无人驾驶无人机等智能设备的防入侵、防攻击、终端安全、隐私数据保护的基础安全业务等。】
【公司CEO是国内UEBA&AI识别安全领域专家；曾杭州阿里巴巴集团总部的安全部门任职7年，在阿里时期拥有两项&AI识别安全方面的专利。阿里还申请了欧洲与北美的&AI识别专利，CEO是发明人。】
【CEO还是阿里云创始团队成员，阿里巴巴集团安全团队第4号安全骨干，10多年企业信息安全经验；CEO曾参与创立一家现在总部在杭州的A轮物联网云平台公司，是之前公司的股东董事与联合创始人CTO，是少有能结合IOT与安全的专家。】
【当前团队拥有阿里云，蚂蚁金服和启明星辰背景的几位技术专家。拥有曾经保护天猫淘宝双11并发亿级数量业务安全威胁与对抗能力，阿里云每日千亿级数据安全的云攻防经验。】",成立日期：2017-10-30,计算机/互联网,不限,2018-04-04,"['1. 本科以上学历，具备扎实的计算机专业基本功', '2. 具有算法和数据结构的功底优先考虑', '3.熟悉Java语言，熟悉HTML，熟悉B/S开发的基本结构', '4.较强的逻辑思维能力，善于分析、归纳、解决问题', '5.\xa0熟悉J2EE、Spring框架、ORM框架者优先', '6. 熟悉MySQL应用开发者优先', '公司福利：', '假期安排：享有国家劳动法规定的各种节假日。', '工作时间： 朝九晚六的工作时间，双休给您足够的休息时间；', '晋升平台：为优秀人才提供展现才能的大平台和晋升机会；', '薪酬福利：根据各岗位各人才的技能要求，提供富有竞争力的薪酬待遇；', '年终奖金：丰厚的年终奖金等您来拿！', '社会福利：缴纳五险：养老、医疗、工伤、失业、生育以及住房公积金；', '员工福利：不定期举办员工文娱活动，员工生日、餐聚、聚会等各种腐败活动，带薪年休假，年度体检；']",https://www.shixiseng.com/intern/inn_9kc0bfnytnnb,java后台实习生/软件开发/软件研发实习生/后台研发实习生,15-50人,51分钟前,算法,3个月,2018-03-22 15:12:02,100-149/天
注册资本：1020.4082万人民币,上海,公司类型：有限责任公司（自然人投资或控股）,上海帝仪科技有限公司,组织机构代码：59811770-4,一家专注于生物信息数据研发的高科技企业,https://www.shixiseng.com/com/com_wgit3ti5n6qe,上海市徐汇区云锦路600号航汇大厦10层,https://sxsimg.xiaoyuanzhao.com/36/82/36588BCD461118F2BD8B4B70232D2E82.jpg,帝仪科技,http://www.deayea.com,"['有成长空间', '公司环境舒适交通便利', '带薪年假病假', '活力四射']",5天/周,"
上海帝仪科技有限公司是一家专注于生物信息数据研发的高科技企业，公司吸纳了国内外一流的专业人士加盟，构建了覆盖博士后、博士、硕士的人才结构体系，以创新、实干为企业精神，以高科技转化为产业应用为发展目标，以人的数据化和信息化为核心产品，是极具发展前景的科技创新企业。帝仪科技立足上海，自2012年发展至今，专注于生物信息数据的发掘和分析，通过对人体生物信息的采集和分析，利用模式识别、大数据、人工智能算法等前沿技术，对人的生理状态进行精确的判断和常态化分析，结合智能穿戴和生物传感技术，形成了从硬件、软件到系统应用的完整闭环，具备了产业转化应用的条件。公司已获得和正在申请的专利初步形成了以脑电信息识别和分析为核心的专利集群。公司产品的适用范围涵盖铁路、航空、核电、危化运输、集卡物流、矿业生产等众多领域，是国内首家针对核心岗位工作人员状态实时管理和预警的大数据平台产品，改变现有企业安全管理中的事后管理模式，通过实时数据评估和长期数据挖掘，提供了事中乃至事前管理的可能性，将彻底改变智能化社会生产体系的管理瓶颈，为工作更安全、人员更健康、生活更快乐提供全新的技术保障。帝仪的目标，是始终专心致力于人工智能和脑机接口相关技术的研究，以人的安全、健康和快乐为己任，追求将最新的科技完美的融合于高质量的产品。帝仪将不断创新，勇于突破，努力成为全球顶级的生物信息高科技企业，为人们带来更舒适和完美地生活，创造更加美好的未来！",成立日期：2012-06-08,电子,硕士,2018-12-12,,https://www.shixiseng.com/intern/inn_slqpkpln5jxb,算法工程师,50-150人,52分钟前,算法,3个月,2018-03-22 15:11:23,120-150/天
注册资本：224.7191 万元人民币,杭州,公司类型：私营有限责任公司(自然人控股或私营性质企业控股),杭州基智基因科技有限公司,注册号：330108000208985,一家技术领先的互联网+基因企业,https://www.shixiseng.com/com/com_1icgynxahjdh,杭州市滨江区聚光中心B座10楼1001,https://sxsimg.xiaoyuanzhao.com/0A/23/0A82C79F9298C8916C12B29632398623.png,久久基因,http://www.99jiyin.com,"['高工资', '节假日福利', '年轻、活力', '积累实战经验', '帅哥美女多', '吃不完的美味零食水果', '不定时下午茶', '优越办公环境', '老板 NICE', '免费培训']",5天/周,杭州基智基因科技有限公司是一家新锐的高科技企业，互联网+基因检测新概念，拥有两款核心品牌：久久基因和纵横基因。 基因作为一切生命奥秘的根本，是人类“自知”的一把钥匙，是美丽、健康等一切生命现象的根源。久久基因帮助您从源头上了解自己的身体，找到最有利于健康和美丽的生活方式。久久基因诞生于社会需求和科技突破两个浪潮的交融，已经为上万用户揭开了美丽的奥秘。精心服务的背后，是数十位毕业于浙大、复旦、马里兰大学的高层次专业技术人才的心血，是在高通量基因测序、中国人基因组大数据、疾病基因组学、营养基因组学、药物基因组学、环境基因组学的研究中累积的宝贵经验。 久久基因将基因检测与个性化护肤服务相结合，为用户科学变美持续提供动力。从肌肤护理到运动锻炼，从饮食调整到纤体瘦身，从局部功能基因阐释，到个人全基因组解析，通过久久基因，您可以轻松解开专属于自己的肌肤奥秘、身体奥秘，享受大数据、人工智能、生物基因等高端领先技术带来的私人定制化生活方式。 我们的理念得到了消费者的认同，也得到了社会力量的支持。久久基因获得数千万风险投资，荣膺“中国品牌创新发展工程”优质项目，曾得到《央视证券频道》、《浙江日报》、网易、搜狐等大型媒体的广泛报道。 久久基因(解码基因，科学变美)定位: 专注于中国人的基因检测和个性化护肤服务使命: 为个人解码美丽的奥秘，为世界探索生命的未知愿景: 让美丽生活与众不同模式: 互联网+基因 姊妹产品—纵横基因:国内技术领先的基因大数据云平台，目标是成为“精准健康业的大数据引擎”。 公司荣膺中国品牌创新发展工程合作项目；CCTV证券资讯《超越》栏目基因检测行业合作伙伴；纽约华尔街时代广场展播中国基因检测企业；获得CCTV证券资讯、网易、搜狐、中国网、浙江日报、杭州日报等众多权威媒体的追踪报道。 ​,成立日期：2015-04-30,其他,不限,2018-04-30,"['5. 具备生命科学、化工等知识优先，研究生或具备研究经历优先；', '超有前景的行业: 互联网消费级基因检测，对标Google投资的独角兽公司——23andme。', '行业地位：主攻皮肤基因检测，应用于肌肤护理、运动健身、营养等方面的基因检测单品，用户量国内第一。', 'CEO/合伙人成员来自微软、腾讯、美国超级计算中心、中国航天科工、浙大。', '久久基因曾获得CCTV证券资讯、网易、搜狐、中国网、浙江日报、杭州日报等众多权威媒体的追踪报道，于纽约时代广场Nasdaq中心全球品牌曝光，是湖南卫视基因检测技术合作伙伴。', '公司位于杭州滨江区政府核心地段，1号线江陵路站出口300m就到公司，工作生活高效便捷。']",https://www.shixiseng.com/intern/inn_qb541kwjy4bm,数据与模型研究员,15-50人,52分钟前,算法,3个月,2018-03-22 15:11:09,200-300/天
注册资本：1500万人民币,上海,公司类型：有限责任公司(自然人投资或控股),杭州慧知连科技有限公司,注册号：330108000156074,一家高新技术企业，专注于机器视觉方向的深度学习和原创算法研发及项目落地的公司,https://www.shixiseng.com/com/com_01b2xxyrfiyx,杭州市萧山区科技城,https://sxsimg.xiaoyuanzhao.com/7D/2C/7DF248622E5B306D0761059605E7642C.png,慧知连,http://www.facevisa.com/,"['技术大牛坐镇', '轻松企业氛围', '靠谱BOSS', '同事都可爱', '成长空间大', '学到东西多']",3天/周,        慧知连是一家高新技术企业，我们专注于机器视觉方向的深度学习和原创算法研发及项目落地的公司，注册资金3600万，核心团队自2002年开始在美资企业从事图像增强技术的研发和商业应用，开发的微笑识别、去红眼、美颜算法等被应用在当时全球主流的所有数码类产品上。           2011年核心团队开始创业，经过7年的积累和沉淀，目前已经在智慧城市安防、互联网金融实名和工业视觉检测方面取得了不错的成绩，公司业务在2017年实现了超过5倍的增长并且实现了近千万人民币的盈利。           2018年我们期待更多志同道合的小伙伴的加入！         我们的薪资福利：         1.薪资构成：月薪+项目奖励+年终奖         2.日常福利：五险一金+带薪假期+节日福利+生日福利+婚丧嫁娶生育礼金+年度体检+团队活动+零食水果饮品         3.工作环境：整洁舒适的办公区+员工专属健身房+双屏电脑配置         4.团队氛围：团建活动+户外拓展+生日Party,成立日期：2014-05-14,计算机/互联网,硕士,2018-03-26,"['岗位职责：', '1.\xa0\xa0\xa0\xa0\xa0\xa0\xa0', '负责公司工业视觉检测产品的图像处理与模式识别等相关算法的研究；', '2.\xa0\xa0\xa0\xa0\xa0\xa0\xa0', '根据公司项目需求，设计与开发新的视觉算法，负责完成计算机视觉及图像处理核心算法实现及优化；', '3.\xa0\xa0\xa0\xa0\xa0\xa0\xa0', '针对公司产品，完善现有算法，提升产品识别率。', '任职要求：', '1.\xa0\xa0\xa0\xa0 硕士及以上学历，计算机技术、控制工程、通信工程、自动化、应用数学等相关专业，研究方向是机器视觉和图像处理方向，数学基础扎实；', '2.\xa0\xa0\xa0\xa0 具有扎实的计算机视觉和图像处理基础知识，精通数字图像处理算法，包括图像增强、图像分割、特征提取等', '3.\xa0\xa0\xa0\xa0 熟悉各种常用的基于机器学习的分类方法，能够根据实际应用场景设计适合的分类器。', '4.\xa0\xa0\xa0\xa0 熟悉', 'opencv', '，', 'halcon', '等视觉算法库；', '5.\xa0\xa0\xa0\xa0 具有将深度学习成功应用于工业视觉领域的落地产品经验者优先。', '6.\xa0\xa0\xa0\xa0 有工业领域机器视觉算法（目标定位、缺陷检测、条码识别、', 'OCR', '、测量）研发经验优先；']",https://www.shixiseng.com/intern/inn_ln63wnbqs2fz,图像算法实习生（杭州）,50-150人,1小时前,算法,3个月,2018-03-22 15:02:51,200-330/天
注册资本：1500万人民币,上海,公司类型：有限责任公司(自然人投资或控股),杭州慧知连科技有限公司,注册号：330108000156074,一家高新技术企业，专注于机器视觉方向的深度学习和原创算法研发及项目落地的公司,https://www.shixiseng.com/com/com_01b2xxyrfiyx,上海市静安区天目西路,https://sxsimg.xiaoyuanzhao.com/7D/2C/7DF248622E5B306D0761059605E7642C.png,慧知连,http://www.facevisa.com/,"['技术大牛坐镇', '轻松企业氛围', '靠谱BOSS', '同事都可爱', '成长空间大', '学到东西多']",3天/周,        慧知连是一家高新技术企业，我们专注于机器视觉方向的深度学习和原创算法研发及项目落地的公司，注册资金3600万，核心团队自2002年开始在美资企业从事图像增强技术的研发和商业应用，开发的微笑识别、去红眼、美颜算法等被应用在当时全球主流的所有数码类产品上。           2011年核心团队开始创业，经过7年的积累和沉淀，目前已经在智慧城市安防、互联网金融实名和工业视觉检测方面取得了不错的成绩，公司业务在2017年实现了超过5倍的增长并且实现了近千万人民币的盈利。           2018年我们期待更多志同道合的小伙伴的加入！         我们的薪资福利：         1.薪资构成：月薪+项目奖励+年终奖         2.日常福利：五险一金+带薪假期+节日福利+生日福利+婚丧嫁娶生育礼金+年度体检+团队活动+零食水果饮品         3.工作环境：整洁舒适的办公区+员工专属健身房+双屏电脑配置         4.团队氛围：团建活动+户外拓展+生日Party,成立日期：2014-05-14,计算机/互联网,硕士,2018-03-26,"['岗位职责：', '负责公司工业视觉检测产品的图像处理与模式识别等相关算法的研究；', '根据公司项目需求，设计与开发新的视觉算法，负责完成计算机视觉及图像处理核心算法实现及优化；', '针对公司产品，完善现有算法，提升产品识别率。', '任职要求：', '1.\xa0\xa0\xa0\xa0 硕士及以上学历，计算机技术、控制工程、通信工程、自动化、应用数学等相关专业，研究方向是机器视觉和图像处理方向，数学基础扎实；', '2.\xa0\xa0\xa0\xa0 具有扎实的计算机视觉和图像处理基础知识，精通数字图像处理算法，包括图像增强、图像分割、特征提取等', '3.\xa0\xa0\xa0\xa0 熟悉各种常用的基于机器学习的分类方法，能够根据实际应用场景设计适合的分类器。', '4.\xa0\xa0\xa0\xa0 熟悉', '，', '等视觉算法库；', '5.\xa0\xa0\xa0\xa0 具有将深度学习成功应用于工业视觉领域的落地产品经验者优先。', '6.\xa0\xa0\xa0\xa0 有工业领域机器视觉算法（目标定位、缺陷检测、条码识别、', '、测量）研发经验优先；']",https://www.shixiseng.com/intern/inn_2u52itgncsge,图像算法实习生（上海）,50-150人,1小时前,算法,3个月,2018-03-22 14:59:54,200-330/天
注册资本：18000万美元,北京,公司类型：有限责任公司(台港澳法人独资),微梦创科网络科技（中国）有限公司,注册号：110000450152561,一个由新浪网推出，提供微型博客服务的类设交网站,https://www.shixiseng.com/com/com_h7s0zfrleee0,北京市海淀区西北旺镇新浪总部大厦,https://sxsimg.xiaoyuanzhao.com/84/56/84C74A313E686CEDAFD1095028D24456.png,新浪微博,http://weibo.com,[],4天/周,,成立日期：2010-10-11,计算机/互联网,本科,2018-04-30,"['岗位职责：', '1\r\n基于用户行为的数据挖掘，模型构建、策略分析和优化，分析计算用户领域属性。', '2\r\n应用机器学习，自然语言处理、分类聚类等技术，针对海量信息建模，为业务场景提供支持', '\u200b', '岗位要求：', '1\r\n计算机，数学，数据挖掘相关专业在校生。', '2\r\n熟练使用python/sql/,linux基本命令', '3\r\n熟悉大数据hadoop开发环境']",https://www.shixiseng.com/intern/inn_bafdtulj8bjq,新浪微博算法实习生,2000人以上,1小时前,算法,3个月,2018-03-22 14:56:48,100-150/天
注册资本：150万人民币,上海,公司类型：有限责任公司（自然人投资或控股）,上海基分文化传播有限公司,组织机构代码：58870629-X,新闻资讯APP排名前五，资讯内容领域黑马,https://www.shixiseng.com/com/com_quc0dx6wwjlh,上海市浦东新区申江路5005弄星创科技广场C幢12层,https://sxsimg.xiaoyuanzhao.com/41/BA/412B9A0DF9CB0448A9E23ADDFC83C1BA.png,趣头条,http://www.qutoutiao.net/,"['研发', '产品运营', '直接参与项目', '扁平化管理', '资深大佬指导', '各种节日福利', '创新产品', '员工午餐']",3天/周,"
趣头条致力于打造一款新形式的资讯阅读软件，以平台、媒体、共赢的方式。以移动应用为载体进行内容创造、资讯阅读，提供更多有用、有趣、有益的内容给大家
原创内容：通过与媒体和PGC的合作，趣头条获得原创内容
个性化推荐：国内专家与硅谷科学家联手，以大数据为支撑，为用户推荐特色阅读内容
",成立日期：2012-01-10,计算机/互联网,本科,2018-04-05,"['改进产品的资讯内容推荐系统，优化用户的阅读体验；', '分析基础数据，挖掘用户兴趣、文章价值，增强推荐系统的预测能力；', '负责内容推荐算法和基础框架的选型及搭建，作为团队人才的培养对象；', '实习期间表现优异者，可以优先转正。', '上；', '每周出勤3天以上，2018/2019届211大学研究生或优秀大三/四优先, 可根据实习毕业情况安排转正；', '能够熟练应用\r\nPHP+MySQL+Linux+Nginx 进行Web开发，有作品优先；', '体验团队头脑风暴，', '可观实习补贴+午餐补贴+不间断零食+弹性工作制。']",https://www.shixiseng.com/intern/inn_dykvhcjibhdm,算法实习生,500-2000人,1小时前,算法,6个月,2018-03-22 14:55:09,100-200/天
