address,attraction,chance,city,cname,collected,cuuid,day,degree,delivered,endtime,ftype,iname,industry,info,invited,logo,maxsal,minsal,month,overdue,refresh,reslan,scale,url
湖北省武汉市东湖高新技术开发区关山大道光谷软件园F4栋12层（海康威视大楼）,弹性工作 周末双休 咖啡下午茶,面议,武汉,武汉安天,0,com_uiwrsnm6jy3c,4,本科,0,2018-05-22,1,数据挖掘工程师,互联网,<p><strong>岗位职责：</strong></p><p>&nbsp;&nbsp;&nbsp; 数据挖掘算法研究</p><p><br></p><p><strong>任职要求：</strong></p><p>&nbsp;&nbsp;&nbsp;&nbsp;1. 熟悉深度学习算法及常用机器学习算法，有相关研究或项目经验，并且在图像、文本领域上有一定经验。<br>&nbsp;&nbsp;&nbsp; 2. 了解Tensorflow等深度学习平台的使用<br>&nbsp;&nbsp;&nbsp; 3. 熟悉Python，熟悉Linux工作环境，对数据结构和算法设计有较为深刻的理解</p><p>&nbsp;&nbsp;&nbsp; 4. 熟悉Hadoop、Spark框架</p>,0,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-16/GQVOh0SP2CaTERF.jpg,120,80,3,0,2018-05-16 15:51:41,中文,150-500人,https://www.shixiseng.com/intern/inn_ighmydzsvyfh
湖北省武汉市东湖高新技术开发区关山大道光谷软件园F4栋12层（海康威视大楼）,弹性工作制,面议,武汉,武汉安天,0,com_uiwrsnm6jy3c,4,硕士,0,2018-05-22,1,数据挖掘实习生,互联网,"岗位职责：<br>1、独立完成项目的数据搜集和数据处理；<br>2、理解数据挖掘模型及预测分析结果，撰写相关分析报告；<br>3、根据各种用户信息进行挖掘，提供业务部门有效的数据支撑；<br><p>4、对大量业务数据进行日志分析、挖掘分析用户行为与需求本质；</p><p>任职要求：</p><p>1、研究生学历，计算机、数学、统计学专业优先，掌握一定的统计学、数据挖掘知识；<br>2、具备较好的项目运营、实施能力，具有较强的执行力和学习能力；<br>3、熟悉hadoop，了解mr，熟悉java，至少熟悉一门脚本语言Python或者R等；<br>4、有hadoop数据开发经验优先,熟悉pig,hive,hbase优先；<br>5、有很强的事业心、责任感，良好敬业精神、团队精神与人际沟通能力。<br></p>",0,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-16/GQVOh0SP2CaTERF.jpg,150,100,3,0,2018-05-16 15:49:43,中文,150-500人,https://www.shixiseng.com/intern/inn_ubeigbjabtyy
广州市天河区科韵路16号信息港E栋网易大厦,网络游戏 知名公司 导师制 免费三餐,面议,广州,网易游戏,0,com_kbk8zgqbm4us,4,本科,0,2018-12-31,1,语料数据标注实习生-广州,互联网,<p><span>【网易游戏】</span>-<span>语料数据标注实习生</span><span>-</span><span>广州</span></p><p><br></p><p>【面向年级】</p><p><strong>2019年及以后毕业的本科生、硕士生</strong></p><p>&nbsp;【面向专业】</p><p>计算机类</p><p>【工作内容】</p><p>- 针对游戏的聊天内容进行整理与分类，完成机器人自动回答的语料整理；</p><p>- 对于文本问话，选择最合适的回答，并整理归类；</p><p>- 对敏感、三俗等内容进行标注和过滤。</p><p>【职位要求】</p><p>- 本科及以上学历；</p><p>- 熟练操作word、excel等常用办公软件；</p><p>- 沟通理解顺畅；</p><p>- 做事认真细致、有耐心和责任心；</p><p>- 可尽快到岗，每周出勤至少可保证4天；</p><p>- 符合下列条件之一优先考虑：</p><p>&nbsp;1)喜欢游戏，并且有游戏经验者优先</p><p>&nbsp;2)从事过特定领域的数据标注工作 &nbsp;&nbsp;</p><p>&nbsp;3)有中文、语言学等背景经验者</p><p>【实习时间】</p><p>3个月以上，每周至少可以实习4天</p><p><br></p><p>&nbsp;【实习地点】</p><p>广州市天河区珠江新城<span>侨鑫国际</span>/广州市天河区科韵路16号信息港E栋<span>网易大厦</span>/广州市天河区珠江西路15号<span>珠江城大厦</span></p><p><br></p><p>&nbsp;【简历投递要求】</p><p>1.投简历需附带个人作品（作品类型不限，能展示设计能力即可）；</p><p><br></p><p>【其他信息】</p><p>实习补贴：2500元/月，公司有餐厅，提供免费三餐；</p>,0,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-22/mWSIgB9Di2Ofe6A.jpg,200,100,8,0,2018-05-16 15:33:36,中文,2000人以上,https://www.shixiseng.com/intern/inn_l1wby0is47ei
中关村南四街四号 中科院软件园,舒适办公环境 领先技术水平 优秀团队 科研单位,面议,北京,中科院软件所,0,com_8i4ilr4stxrj,4,硕士,0,2018-05-30,1,安全工程师,计算机/互联网,"<div>职位描述：</div><p><p><p><p>[实习生<span>]</span>中科院软件所 智能系统安全研究</p><p><br></p><p>研究方向：<span></span></p><p>智能系统安全分析、漏洞挖掘、多维度安全增强等<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span></p><p><br></p><p>岗位职责：<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span></p><p>强化学习最新前沿论文的研读，原型系统实现，安全技术的改进有创新 &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</p><p><br></p><p>任职要求：<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span></p><p>1、在校硕士或博士，<span>计算机或信息安全方向</span><span>&nbsp; &nbsp;</span></p><p>2、有较好的系统安全基础和漏洞挖掘基础<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span></p><p>3、熟悉python编程语言和<span style=""font-size:16px;"">Linux系统，</span><span style=""font-size:16px;"">熟练编写shell脚本</span><span>​&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</span></p><p>4、能快速阅读并理解英文论文内容<span>&nbsp;&nbsp;&nbsp;&nbsp;</span></p><p><br></p><p>待遇：<span></span></p><p>2k-5k，根据个人综合能力确定<span>&nbsp;&nbsp;</span></p><p>为表现优秀者提供留所工作的机会</p></p></p></p>",0,https://sxsimg.xiaoyuanzhao.com/F2/D6/F2DCE183DB4D010C49348C45077FD9D6.png,200,120,6,0,2018-05-16 15:33:19,中文,500-2000人,https://www.shixiseng.com/intern/inn_4amfwd1dkfza
深圳市南山区高新南七道深圳软件园T2-B栋611,你将获得持续不断的挑战与能力提升，并与志同道合的伙伴并肩作战,面议,深圳,IDataAPI,0,com_37mjjm3zhmzr,5,本科,0,2018-05-31,1,自然语言处理（NLP）实习生,企业服务,<div><p>工作职责：</p><p>1. 对互联网数据进行基本统计分析；</p><p>2. 文本分类、聚类、关键词提取、话题分析、情感分析、意见挖掘、文本摘要等；</p><p>3. 实现公司大数据平台的开发和优化；</p><p>4. 完成团队安排的其他工作。</p><p>&nbsp;</p><p>职位要求：</p><p>1. 精通Python语言；</p><p>2. 数学或计算机相关专业，本科或以上学历；</p><p>3. 具有算法、机器学习、数学建模背景优先；</p><p>4. 具有nltk、scikit-learn、tensorflow等数据分析经验优先；</p><p>5. 优秀应届毕业生优先。</p></div>,0,https://sxsimg.xiaoyuanzhao.com/AB/0A/AB483CF33437B4781DDC757C6206C30A.png,200,100,6,0,2018-05-16 15:32:03,中文,15-50人,https://www.shixiseng.com/intern/inn_4m5klplpcrm6
"广州市天河区翰景路1号金星大厦20F, 深圳市福田区滨河大道北5022号联合广场A座38楼 ,福州市五一南路1号联信中心16楼 ,厦门市思明区珍珠湾软件园创新楼A区301室 ,上海市静安区江场路1377弄绿地中央广场1号楼22F ,苏州市工业园区金鸡湖大道1355号国际科技园二期D204",五险一金、法定年假、福利年假、生日礼金、午餐补贴、出差补贴,可转正,"广州,福州,厦门,深圳,上海,苏州",鼎捷软件,0,com_qolpznhcqfcl,5,本科,0,2018-06-30,1,ERP实施顾问（E优才）,计算机/互联网,<p><strong>岗位职责：</strong></p><p>1.<span>&nbsp;</span>负责系统安装、升级</p><p>2.<span>&nbsp;</span>负责客户问题上门处理</p><p>3.<span>&nbsp;</span>负责老客户的二次开发需求规划确认</p><p>4.<span>&nbsp;</span>负责协助实施顾问处理上线中客户问题</p><p>5.<span>&nbsp;</span>担任大班课讲师</p><p>6.<span>&nbsp;</span>负责老客户续购模块的实施交付</p><p>7.<span>&nbsp;</span>完成领导交办的其他任务</p><p><strong>任职资格：</strong></p><p>1.本科及以上学历；计算机大类专业、管理大类专业、财会类专业（对应<span>ERP</span>财务管理系统）、工程大类；</p><p>2.熟悉一种数据库语言，可以进行<span>SQL</span>语句编写；</p><p>3.掌握至少一种编程语言（<span>java</span>、<span>c</span>语言、<span>c++</span>均可）；</p><p>4.能够接受出差；</p><p>5.良好的沟通能力和团队精神，工作认真踏实，责任心强；</p><p><strong>工作地点：</strong></p><p><br></p>,0,https://sxsimg.xiaoyuanzhao.com/76/42/7684EAA530573313EB296B9E6D348942.jpg,600,500,3,0,2018-05-16 14:17:18,中文,2000人以上,https://www.shixiseng.com/intern/inn_zdehtxaxvybk
福州市台江区五一南路1号联信中心16F,五险一金、法定年假、福利年假、生日礼金、午餐补贴、出差补贴,可转正,福州,鼎捷软件,0,com_qolpznhcqfcl,5,本科,0,2018-06-30,1,实施顾问（PLM）,计算机/互联网,"<p><strong>岗位职责：</strong></p><p>1、负责<span>PLM</span>产品的实施工作，含项目整体规划以及项目实施进度控制控制等；</p><p>2、负责<span>PLM</span>项目的业务需求调研、需求分析、实施方案制定，完成项目实施工作
；</p><p>3、在项目经理指导下进行具体实施工作，负责系统上线使用及客户培训等；</p><p>4、为客户提供日常业务支持和流程管理咨询服务，帮助客户改进业务流程；</p><p><strong>任职要求：</strong></p><p>1、本科及以上学历；计算机、机械设计、工业工程等相关专业优先；<span><br> 2</span>、具有<span>CAD/CAE/CAM</span>计算机辅助工程设计、加工编程和仿真软件使用经验者优先；<span><br> 3</span>、良好规范的文档记录能力和逻辑分析能力，良好的口头表达与沟通能力；<span><br> 4</span>、熟悉<span>Oracle</span>数据库管理维护；<span><br> 5</span>、熟练掌握<span>PPT</span>、<span>Word</span>和<span>Excel</span>等常用办公工具；<span><br> 6</span>、工作责任心强，敢于承受压力，能适应出差。</p>",0,https://sxsimg.xiaoyuanzhao.com/76/42/7684EAA530573313EB296B9E6D348942.jpg,600,500,3,0,2018-05-16 14:16:40,中文,2000人以上,https://www.shixiseng.com/intern/inn_jf2wxixfkgbp
广州市天河区翰景路1号金星大厦20F,五险一金、法定年假、福利年假、生日礼金、午餐补贴、出差补贴,可转正,广州,鼎捷软件,0,com_qolpznhcqfcl,5,本科,0,2018-06-30,1,助理实施顾问,计算机/互联网,<p><strong>岗位职责：</strong></p><p>1、负责<span>ERP</span>产品的实施工作，含项目整体规划以及项目实施进度控制控制等；</p><p>2、负责<span>ERP</span>项目的业务需求调研、需求分析、实施方案制定，完成项目实施工作 ；</p><p>3、在项目经理指导下进行具体实施工作，负责系统上线使用及客户培训等；</p><p>4、为客户提供日常业务支持和流程管理咨询服务，帮助客户改进业务流程；</p><p><strong>任职资格：</strong></p><p>1、本科及以上学历；计算机大类专业、管理类专业、财务会计类专业、工程类专业等等；</p><p>2、良好规范的文档记录能力和逻辑分析能力，良好的口头表达与沟通能力；</p><p>3、熟悉<span>Oracle</span>、<span>SQL Sever</span>数据库管理维护；</p><p>4、熟练掌握<span>PPT</span>、<span>Word</span>和<span>Excel</span>等常用办公工具；</p><p>5、工作责任心强，敢于承受压力，能适应出差；</p>,0,https://sxsimg.xiaoyuanzhao.com/76/42/7684EAA530573313EB296B9E6D348942.jpg,600,500,3,0,2018-05-16 14:14:30,中文,2000人以上,https://www.shixiseng.com/intern/inn_u4g4ilowkhhm
武汉东湖开发区光谷大道77号金融港中心一期A3栋10层,可转正，有大牛带，脑暴，实习薪资，看电影，有商业保险，有饭补,可转正,武汉,看电影了没,0,com_gcajkfrcmw06,5,本科,0,2018-06-30,1,数据分析,计算机/互联网,"<span><div><strong>希望你</strong></div><ol><li><div>本科及以上学历&nbsp; &nbsp; &nbsp;</div></li><li><div>数学、统计学、计算机等理工科专业</div></li><li><div>英语阅读能力好</div></li><li><div>熟练使用SPSS、Excel等软件</div></li><li><div>做事认真负责，有团队精神，信奉终生学习</div></li><li><div>喜欢/擅长算法加分</div></li></ol><div><strong>需要你做</strong></div><ol><li><div>分析数据，提出优化建议</div></li><li><div>根据问题，建立数据分析模型，并收集信息进行分析</div></li><li><p>独立建立资料信息库</p></li></ol><p><span><div><div><strong>实习福利待遇</strong></div><div><ol><li><div>丰厚的实习薪资</div></li><li><div>自由舒适的办公环境</div></li><li><div>饭补加零食水果</div></li><li><div>补充商业保险</div></li><li><div>转正的机会</div></li></ol></div></div><div><span><strong>转正福利待遇</strong></span></div><div><ol><li><div>远高于同行业的薪资</div></li><li><div>六险一金+饭补</div></li><li><div>期权激励</div></li><li><div>自由舒适的办公环境，年轻活力的团队</div></li><li><div>生日礼物，不定期聚餐出游</div></li><li><div>弹性工作时间</div></li><li><div>提供员工宿舍</div></li></ol></div><div><span><strong>你还可以</strong></span></div><div><ol><li><div>工作之余看书八卦</div></li><li><div>想吼几嗓子可以躲进配音室</div></li><li><div>想要来几张真人秀分分钟搞定</div></li></ol></div><div><br></div><div>想深度了解我们的调性，在以下任一平台搜索【看电影了没】</div><div><strong>B站，Youtube, 微信，微博，今日头条</strong></div></span>​<br></p></span>",0,https://sxsimg.xiaoyuanzhao.com/57/27/5702FDA72AF3A0287732ED5FB63EA627.jpg,200,120,3,0,2018-05-16 14:10:53,中文,少于15人,https://www.shixiseng.com/intern/inn_i36yzy90q2sq
全国,Mentor计划，转正HC，外企环境,可转正,全国,Teradata天睿信科,0,com_knzlveoj6etv,4,硕士,0,2018-06-30,1,数据分析与挖掘,企业服务,<p>1、 统计学、应用数学、情报学等相关专业硕士生及博士生</p><p>2、 熟练运用Excel、SPSS、SAS、R、Python等分析软件</p><p>3、 有数据挖掘、文本挖掘、自然语言理解实际运用经验优先；熟悉SQL脚本优先</p>,0,https://sxsimg.xiaoyuanzhao.com/54/D3/5473BC41FD084B0D203214C1A5BAC3D3.png,200,120,3,0,2018-05-16 14:07:09,中文,500-2000人,https://www.shixiseng.com/intern/inn_haz03zdprlgu
