ad_type,city,cname,day,deliver,ftype,invite,maxsal,minsal,name,refresh,type,url,uuid
f,武汉,武汉安天,4,False,1,False,120,80,数据挖掘工程师,05-16,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-16/GQVOh0SP2CaTERF.jpg,inn_ighmydzsvyfh
f,武汉,武汉安天,4,False,1,False,150,100,数据挖掘实习生,05-16,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-16/GQVOh0SP2CaTERF.jpg,inn_ubeigbjabtyy
f,广州,网易游戏,4,False,1,False,200,100,语料数据标注实习生-广州,05-16,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-22/mWSIgB9Di2Ofe6A.jpg,inn_l1wby0is47ei
f,北京,中科院软件所,4,False,1,False,200,120,安全工程师,05-16,intern,https://sxsimg.xiaoyuanzhao.com/F2/D6/F2DCE183DB4D010C49348C45077FD9D6.png,inn_4amfwd1dkfza
f,深圳,IDataAPI,5,False,1,False,200,100,自然语言处理（NLP）实习生,05-16,intern,https://sxsimg.xiaoyuanzhao.com/AB/0A/AB483CF33437B4781DDC757C6206C30A.png,inn_4m5klplpcrm6
f,"广州,福州,厦门,深圳,上海,苏州",鼎捷软件,5,False,1,False,600,500,ERP实施顾问（E优才）,05-16,intern,https://sxsimg.xiaoyuanzhao.com/76/42/7684EAA530573313EB296B9E6D348942.jpg,inn_zdehtxaxvybk
f,福州,鼎捷软件,5,False,1,False,600,500,实施顾问（PLM）,05-16,intern,https://sxsimg.xiaoyuanzhao.com/76/42/7684EAA530573313EB296B9E6D348942.jpg,inn_jf2wxixfkgbp
f,广州,鼎捷软件,5,False,1,False,600,500,助理实施顾问,05-16,intern,https://sxsimg.xiaoyuanzhao.com/76/42/7684EAA530573313EB296B9E6D348942.jpg,inn_u4g4ilowkhhm
f,武汉,看电影了没,5,False,1,False,200,120,数据分析,05-16,intern,https://sxsimg.xiaoyuanzhao.com/57/27/5702FDA72AF3A0287732ED5FB63EA627.jpg,inn_i36yzy90q2sq
f,全国,Teradata天睿信科,4,False,1,False,200,120,数据分析与挖掘,05-16,intern,https://sxsimg.xiaoyuanzhao.com/54/D3/5473BC41FD084B0D203214C1A5BAC3D3.png,inn_haz03zdprlgu
f,重庆,赛迪技术,5,False,1,False,160,100,数据挖掘/机器学习,05-16,intern,https://sxsimg.xiaoyuanzhao.com/A7/53/A765765804BE975E784155C9F7497C53.png,inn_ii4ueefp6u6b
f,上海,同业云,5,False,1,False,550,500,高级数据挖掘工程师（正编）,05-16,intern,https://sxsimg.xiaoyuanzhao.com/A4/FA/A436BE608E0077FA6A03D0712543C3FA.png,inn_jmnopkfagvwx
